cell_id,ticker,year,column,value_state,source_class,evidence_level,source_artifact,source_field,source_effective_year,source_retrieved_at,transform_id,upstream_cells,resolution_note
MIATK|2021|benchmark_same_year_return_pct,MIATK,2021,benchmark_same_year_return_pct,present,yahoo_fetch,cell_verified,data/trusted_raw/bist100_benchmark_returns.csv,bist100_return_pct,2021,,T_COPY,,
MIATK|2021|current_assets,MIATK,2021,current_assets,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,current_assets,2021,,T_COPY,,
MIATK|2021|current_ratio,MIATK,2021,current_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,current_ratio,2021,,T_COPY,,
MIATK|2021|ebitda,MIATK,2021,ebitda,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,ebitda,2021,,T_COPY,,
MIATK|2021|ebitda_growth_pct,MIATK,2021,ebitda_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2021|ebitda_margin,MIATK,2021,ebitda_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,ebitda_margin,2021,,T_COPY,,
MIATK|2021|enterprise_value,MIATK,2021,enterprise_value,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,enterprise_value,2021,,T_RATIO,,
MIATK|2021|equity,MIATK,2021,equity,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,total_equity,2021,,T_COPY,,
MIATK|2021|ev_ebitda,MIATK,2021,ev_ebitda,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,ev_ebitda,2021,,T_RATIO,,
MIATK|2021|financial_debt_ratio,MIATK,2021,financial_debt_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,financial_debt_ratio,2021,,T_COPY,,
MIATK|2021|gross_margin,MIATK,2021,gross_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,gross_profit_margin,2021,,T_COPY,,
MIATK|2021|gross_profit,MIATK,2021,gross_profit,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,gross_profit,2021,,T_COPY,,
MIATK|2021|gross_profit_growth_pct,MIATK,2021,gross_profit_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
