carrier,model,ic_injected,level_index,repetition,injection_seed,permutation_seed,injected_dataset_sha256,permutation_p_value_two_sided,stage1_operating_point_p_value,detected_stage1_rule,detected_raw_p05,n_ic_injected,ic_raw_carrier,n_ic_raw_carrier,ic_panel_carrier,n_ic_panel_carrier,ic_model_input_carrier,n_ic_model_input_carrier,ic_model_prediction,n_ic_model_prediction,ic_final_evaluation,n_ic_final_evaluation,invariant_carrier_missingness_mask_preserved,invariant_carrier_observed_value_multiset_preserved_within_year,invariant_carrier_reaches_model_input,invariant_identity_checkpoint_ics_agree,invariant_non_carrier_features_unchanged,invariant_ridge_prediction_ic_equals_final_evaluation_ic,invariant_targets_unchanged
equity,ridge,0.29999999999999999,3,249,42030396,291,c53bd41229c0e0ad02a9fc16d6d5d480c54689c93a919418c93534d209ccea32,0.00079992000800000005,0.0039996000399999997,True,True,,0.36422411008099997,240,0.36422411008099997,240,0.36422411008099997,240,0.21745633054800001,240,0.21745633054800001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,250,42030397,292,be85b79b1de5fc9496cd8d8f81d0dace24146e1cb26a9ee034e8a86c843b243c,0.0052994700529999999,0.026497350265,True,True,,0.29039974298999999,240,0.29039974298999999,240,0.29039974298999999,240,0.18111539532699999,240,0.18111539532699999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,251,42030398,293,763dcce816dc143b0185f465984107502d54b7101856396e410b2d55dcd00240,0.42175782421800001,1,False,False,,0.29492377968400002,240,0.29492377968400002,240,0.29492377968400002,240,0.052101107688999997,240,0.052101107688999997,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,252,42030399,294,d3da1a6e50c740e035d4c66edf9361266ae1ac372fce42b7b53f3bed0e52576e,0.043095690430999999,0.215478452155,False,True,,0.20512033633000001,240,0.20512033633000001,240,0.20512033633000001,240,0.12998938793100001,240,0.12998938793100001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,253,42030400,295,2454f6f043fbe684b40be62bbe0c675f2b05d343a4083fa2db06136fd2f600d9,0.00049995000499999996,0.0024997500250000001,True,True,,0.302807451866,240,0.302807451866,240,0.302807451866,240,0.21473732089600001,240,0.21473732089600001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,254,42030401,296,bd0555dad17abc706217f6b7a316a85ed52bb1bc86e51792c633cf92c59adb95,0.015398460153999999,0.076992300769999994,False,True,,0.33939290845999998,240,0.33939290845999998,240,0.33939290845999998,240,0.15799370774800001,240,0.15799370774800001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,255,42030402,297,7fc2d620aa87218697cc5fc02c68c9d9989dc74ce785c802b5a656387c9fe032,0.001299870013,0.0064993500650000003,True,True,,0.31090278341100003,240,0.31090278341100003,240,0.31090278341100003,240,0.210807150985,240,0.210807150985,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,256,42030403,298,07e8fe3a74f9e1372fd8731bbef7cd01632686718ad2fbb0bb3dffaa7100bf2e,9.9990001000000006e-05,0.00049995000499999996,True,True,,0.40757382710599999,240,0.40757382710599999,240,0.40757382710599999,240,0.27713017640299997,240,0.27713017640299997,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,257,42030404,299,f260b6ff27667863a8d333b8016d3ba46433170620fc3ba3f6b58c494e41ceaf,0.051094890511000003,0.25547445255500001,False,False,,0.23214802163000001,240,0.23214802163000001,240,0.23214802163000001,240,0.128520015505,240,0.128520015505,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,258,42030405,300,304fb42e54e5abc5997f8ea9dbd866ec4aa5ca7b3701d283005c1bdc440e7aef,0.034396560344000002,0.17198280171999999,False,True,,0.27366230480300002,240,0.27366230480300002,240,0.27366230480300002,240,0.13732607931900001,240,0.13732607931900001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,259,42030406,301,2d91f6c28472f3493b27b496289255c42ee791dfef34d271a399002b72e9a040,0.045195480452000003,0.22597740225999999,False,True,,0.231568714595,240,0.231568714595,240,0.231568714595,240,0.13102031405699999,240,0.13102031405699999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,260,42030407,302,0a6a2b1c4d22885829eb8a3f875521c8efae5f71a5e90c151eafeff1750ca782,0.0078992100789999995,0.039496050395000003,True,True,,0.20833989687900001,240,0.20833989687900001,240,0.20833989687900001,240,0.17308253013800001,240,0.17308253013800001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,261,42030408,303,3371142af01a016d00ba251864c41481196244910c521a51a825af8bae34e28b,0.0073992600740000001,0.036996300369999999,True,True,,0.30829282240900002,240,0.30829282240900002,240,0.30829282240900002,240,0.17272265699,240,0.17272265699,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,262,42030409,304,026fe20c9765f432c071d487f7b5c2be49a7c589dd71da3473b7cb0cd0b98838,0.0017998200180000001,0.00899910009,True,True,,0.30039331470500003,240,0.30039331470500003,240,0.30039331470500003,240,0.205736002897,240,0.205736002897,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,263,42030410,305,1856a25f276f2c11e680cee2245fb02473d45efe79acc75cf4f70ff8e420291f,0.0093990600939999995,0.046995300470000001,True,True,,0.321129265316,240,0.321129265316,240,0.321129265316,240,0.16962771721600001,240,0.16962771721600001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,264,42030411,306,c450f9e12e673fe62406a08e642ee96d016ae94ccd7aa0f0d879463d6b3eb82b,0.035596440356,0.17798220177999999,False,True,,0.262458009504,240,0.262458009504,240,0.262458009504,240,0.13566965071699999,240,0.13566965071699999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,265,42030412,307,d1f1fb7f1ea5c1f974603f6c6a558de077c143ab51e7ab17eb053dda5a3fe713,0.0078992100789999995,0.039496050395000003,True,True,,0.285038911161,240,0.285038911161,240,0.285038911161,240,0.17404330916800001,240,0.17404330916800001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,266,42030413,308,817915a356efde8689e21c14c15e9fd1ac3a5084338af5b4c5c278b1afb72c22,0.00019998000200000001,0.00099990000999999992,True,True,,0.36094204837299998,240,0.36094204837299998,240,0.36094204837299998,240,0.25414196262099997,240,0.25414196262099997,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,267,42030414,309,b86b2bfb6da189e6043b972ed3839709a5b04cbdf9f16da7417e0011f30817c4,0.0011998800119999999,0.00599940006,True,True,,0.26717025066099997,240,0.26717025066099997,240,0.26717025066099997,240,0.206275510115,240,0.206275510115,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,268,42030415,310,996358988e3a206fcc58dcfe7b4b86cf0b7602ce778f67f6ce872f3807e3afd3,0.001899810019,0.0094990500949999994,True,True,,0.36479456738900001,240,0.36479456738900001,240,0.36479456738900001,240,0.19820325724099999,240,0.19820325724099999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,269,42030416,311,1eee6ba6d5b1ef75540696f453fab1d65229a043a3faabb2fae0915e8b291299,0.014798520148,0.073992600739999997,False,True,,0.26874689756100001,240,0.26874689756100001,240,0.26874689756100001,240,0.158525084363,240,0.158525084363,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,270,42030417,312,6b34cf1c87fa3837645b306f8085041a34cefeae940812aa50aa64feddb633d2,0.011198880111999999,0.055994400559999997,False,True,,0.221278237238,240,0.221278237238,240,0.221278237238,240,0.16414301780400001,240,0.16414301780400001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,271,42030418,313,19fe1c4b3afd9a775d36a920046bad39357be7a0f66caeb1a1975d601fe353d0,0.010298970103,0.051494850515000003,False,True,,0.220824845252,240,0.220824845252,240,0.220824845252,240,0.16955775402100001,240,0.16955775402100001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,272,42030419,314,02a159d944f2bbe24972d260588378b2dda3364fb529195fda018a050d1d209a,0.042595740425999999,0.21297870213,False,True,,0.35895701268000002,240,0.35895701268000002,240,0.35895701268000002,240,0.132465730798,240,0.132465730798,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,273,42030420,315,0a518b1a8404e7435bc74641440c7e84c7750ad8542726e1e28315fbdb4070eb,0.044695530446999997,0.22347765223499999,False,True,,0.32454597768299998,240,0.32454597768299998,240,0.32454597768299998,240,0.130574973545,240,0.130574973545,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,274,42030421,316,cb64deeb65706c8515f4fddbcf3ca8c763126cbbb9a9694601144feec500a695,0.0015998400160000001,0.0079992000799999994,True,True,,0.29111713318100002,240,0.29111713318100002,240,0.29111713318100002,240,0.20304787940800001,240,0.20304787940800001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,275,42030422,317,1b687e93e2027e665e57bf86b1ba33f2047832fc05138496df8f34e523d64a17,0.032896710328999997,0.164483551645,False,True,,0.285953723529,240,0.285953723529,240,0.285953723529,240,0.14041285148900001,240,0.14041285148900001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,276,42030423,318,d3ce48cbf7705c16381770b2645107d4f42f266e62124824bd62c4b9dc16f4e8,0.010198980102,0.050994900510000003,False,True,,0.32059908021700001,240,0.32059908021700001,240,0.32059908021700001,240,0.16531493636299999,240,0.16531493636299999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,277,42030424,319,a94781fc81a603b3e4ea3da2d265d1a7df8e1645ca4755d496444771a1b9ab44,0.0017998200180000001,0.00899910009,True,True,,0.25291724198499999,240,0.25291724198499999,240,0.25291724198499999,240,0.20482978693199999,240,0.20482978693199999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,278,42030425,320,80c292419adc189d656b43034aa0b50ec86ead53690c96b42d63c2451d408aea,0.0090990900909999999,0.045495450455000003,True,True,,0.29963458955700001,240,0.29963458955700001,240,0.29963458955700001,240,0.16880017294800001,240,0.16880017294800001,240,True,True,True,True,True,True,True
