source_id,source_row_number,ticker_or_share_code,company_name,raw_q4_index_value,normalized_narrowest_index,is_xu030,is_xu050,is_xu100,nested_expansion_applied,identity_status,collision_reconciliation_status,revision_status,provenance_status,notes
P3184-2020-Q4-01,1,ARDYZ,ARD BILISIM TEKNOLOJILERI,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,2,AGHOL,ANADOLU GRUBU HOLDING,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,3,AKBNK,AKBANK,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,4,AKCNS,AKCANSA,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,5,AKSA,AKSA,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,6,AKSEN,AKSA ENERJI,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,7,AKGRT,AKSIGORTA,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,8,AKSGY,AKIS GMYO,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,9,ALGYO,ALARKO GMYO,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,10,ALARK,ALARKO HOLDING,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,11,ALBRK,ALBARAKA TURK,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,12,ALCTL,ALCATEL LUCENT TELETAS,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,13,ALKIM,ALKIM KIMYA,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
