surface_id,operator,q,metric_scope,window_condition_id,split,year,model,kind,n,split_count,observed_ic,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_value_two_sided,observed_null_percentile,bonferroni_adjusted_p_value,significant_fwer_0_05,delta_observed_ic,delta_n,delta_split_count,significance_verdict_changed
winsorization__q_0p05,winsorization,0.050000000000000003,per_split,winsorization__q_0p05__test_2023,test_2023,2023,ridge,ml,80,,-0.0056728943497618596,-0.23196918870525918,0.22590965449727654,0.95720427957204279,48.484999999999999,,,0.0026489134773681408,0,,
winsorization__q_0p05,winsorization,0.050000000000000003,per_split,winsorization__q_0p05__test_2024,test_2024,2024,ridge,ml,80,,0.21772151898734177,-0.0086914654492778829,0.43129817714399976,0.047295270472952705,97.659999999999997,,,-0.00042194092827005369,0,,
winsorization__q_0p05,winsorization,0.050000000000000003,per_split,winsorization__q_0p05__test_2025,test_2025,2025,ridge,ml,80,,0.031715893108298171,-0.20118532332391648,0.25998672319728061,0.7815218478152185,61.219999999999999,,,-0.036427566807313641,0,,
winsorization__q_0p05,winsorization,0.050000000000000003,pooled,pooled,pooled,,ridge,ml,240,3,0.081254839248626018,-0.052687675354325149,0.21237350690718329,0.21167883211678831,89.329999999999998,1,False,-0.011400198086071858,0,0,False
winsorization__q_0p05,winsorization,0.050000000000000003,per_split,winsorization__q_0p05__test_2023,test_2023,2023,robust_rank_aggregation,baseline,80,,0.087905845323387105,-0.13331635951773868,0.29240881860612844,0.43885611438856115,78.159999999999997,,,0,0,,
winsorization__q_0p05,winsorization,0.050000000000000003,per_split,winsorization__q_0p05__test_2024,test_2024,2024,robust_rank_aggregation,baseline,80,,0.1954290527074114,-0.019752745983541778,0.39087327110713299,0.08089191080891911,96.159999999999997,,,0,0,,
winsorization__q_0p05,winsorization,0.050000000000000003,per_split,winsorization__q_0p05__test_2025,test_2025,2025,robust_rank_aggregation,baseline,80,,0.16246344360132983,-0.065789203051559345,0.37835560633061571,0.14628537146285372,92.969999999999999,,,0.062528496119805446,0,,
winsorization__q_0p05,winsorization,0.050000000000000003,pooled,pooled,pooled,,robust_rank_aggregation,baseline,240,3,0.14859944721070942,0.021810539259136792,0.26682144717175782,0.016898310168983102,99.159999999999997,,,0.020842832039935144,0,0,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2023,test_2023,2023,baseline_equal_weight,baseline,80,,0.094634192107391019,-0.11867685870113438,0.28940903628853676,0.39826017398260172,80.75,,,-0.00023441712189098407,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2024,test_2024,2024,baseline_equal_weight,baseline,80,,0.21179090482887952,-0.011096322529199303,0.41101539512079943,0.059894010598940103,97.290000000000006,,,0,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2025,test_2025,2025,baseline_equal_weight,baseline,80,,0.17400375058602907,-0.053275354050549673,0.38528913225135625,0.1250874912508749,94.030000000000001,,,0.031645569620253167,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,pooled,pooled,pooled,,baseline_equal_weight,baseline,240,3,0.16014294917409985,0.035264778030863156,0.27591528999086629,0.010098990100989901,99.439999999999998,,,0.010470384166120728,0,0,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2023,test_2023,2023,baseline_rank_score,baseline,80,,0.094634192107391019,-0.11867685870113438,0.28940903628853676,0.39826017398260172,80.75,,,-0.00023441712189098407,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2024,test_2024,2024,baseline_rank_score,baseline,80,,0.21179090482887952,-0.011096322529199303,0.41101539512079943,0.059894010598940103,97.290000000000006,,,0,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2025,test_2025,2025,baseline_rank_score,baseline,80,,0.17400375058602907,-0.053275354050549673,0.38528913225135625,0.1250874912508749,94.030000000000001,,,0.031645569620253167,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,pooled,pooled,pooled,,baseline_rank_score,baseline,240,3,0.16014294917409985,0.035264778030863156,0.27591528999086629,0.010098990100989901,99.439999999999998,,,0.010470384166120728,0,0,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2023,test_2023,2023,elasticnet,ml,80,,-0.10150261377879691,-0.32265963715160362,0.13400643199225415,0.37706229377062295,18.949999999999999,,,-0.0026489134773681339,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2024,test_2024,2024,elasticnet,ml,80,,0.055696202531645568,-0.16730385833235606,0.2848390230911213,0.61813818618138183,68.890000000000001,,,-0.0016408813877168346,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2025,test_2025,2025,elasticnet,ml,80,,-0.023042662916080637,-0.26015930986413965,0.21646697752396421,0.83791620837916203,42.310000000000002,,,-0.0050867323019221748,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,pooled,pooled,pooled,,elasticnet,ml,240,3,-0.022949691387743994,-0.15364942502200551,0.11087630070223531,0.71842815718428155,36.170000000000002,1,False,-0.0031255090556690512,0,0,False
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2023,test_2023,2023,gradient_boosting,ml,80,,-0.12038702947467821,-0.32670455584949171,0.098803837313373361,0.28447155284471554,14.404999999999999,,,-0.019969747406622981,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2024,test_2024,2024,gradient_boosting,ml,80,,-0.11254102203469292,-0.32779967113463615,0.11853565452586022,0.32136786321367861,16.300000000000001,,,0.0033410447867227855,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2025,test_2025,2025,gradient_boosting,ml,80,,-0.11169714017815284,-0.33060566254603457,0.11874420997107717,0.32286771322867713,15.82,,,-0.012236286919831224,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,pooled,pooled,pooled,,gradient_boosting,ml,240,3,-0.11487506389584133,-0.23905696118464867,0.018408139123493063,0.074692530746925306,3.7200000000000002,0.44815518448155184,False,-0.0096216631799104779,0,0,False
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2023,test_2023,2023,lasso,ml,80,,0.010244028226636085,-0.22320132699914338,0.24507091033448625,0.92750724927507244,54.119999999999997,,,-0.00056260109253836697,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2024,test_2024,2024,lasso,ml,80,,0.13701359587435538,-0.088429962018044775,0.35289488856676321,0.22347765223477653,88.784999999999997,,,-0.0016643225503984727,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,per_split,winsorization__q_0p10__test_2025,test_2025,2025,lasso,ml,80,,0.058907641819034226,-0.17880489751279813,0.28755779231017381,0.59844015598440159,70.069999999999993,,,-0.06024378809188935,0,,
winsorization__q_0p10,winsorization,0.10000000000000001,pooled,pooled,pooled,,lasso,ml,240,3,0.068721755306675236,-0.066602126728199804,0.19950602019338184,0.28797120287971201,85.439999999999998,1,False,-0.020823570578275385,0,0,False
