arm,carrier,ic_injected,repetition,injection_seed,permutation_seed,injected_dataset_sha256,permutation_p_value_two_sided,bonferroni_adjusted_p_value,detected,n_ic_injected,ic_raw_carrier,n_ic_raw_carrier,ratio_to_injected_ic_raw_carrier,ic_panel_carrier,n_ic_panel_carrier,ratio_to_injected_ic_panel_carrier,ic_model_input_carrier,n_ic_model_input_carrier,ratio_to_injected_ic_model_input_carrier,ic_model_prediction,n_ic_model_prediction,ratio_to_injected_ic_model_prediction,ic_final_evaluation,n_ic_final_evaluation,ratio_to_injected_ic_final_evaluation
secondary,current_ratio,0.20000000000000001,5,43020148,47,8d35224d2fdd91a20784c901c7fdb3d1c597be1cef1f38652f9f1a3b460ad839,0.035296470353000001,0.17648235176499999,False,,0.30599078715700001,120,1.529953935784,0.30599078715700001,120,1.529953935784,0.22047219413800001,240,1.102360970688,0.13841977751000001,240,0.69209888755100002,0.13841977751000001,240,0.69209888755100002
secondary,current_ratio,0.20000000000000001,6,43020149,48,9815c890e13d093e6faef2bf954e44e6f038913ea7a7bfc7548372fa4a4189a6,0.078592140786000006,0.39296070392999999,False,,0.26407371777799998,120,1.320368588892,0.26407371777799998,120,1.320368588892,0.16333333405,240,0.81666667025200002,0.114228840149,240,0.57114420074500005,0.114228840149,240,0.57114420074500005
secondary,current_ratio,0.20000000000000001,7,43020150,49,8fceb58736bfe62a6016c56851ac28656fe3291a72101d677dba5d1e5674ede8,0.060193980602,0.30096990300999998,False,,0.21177478221599999,120,1.0588739110809999,0.21177478221599999,120,1.0588739110809999,0.12496481763099999,240,0.62482408815299995,0.12231602313999999,240,0.61158011570199999,0.12231602313999999,240,0.61158011570199999
secondary,current_ratio,0.20000000000000001,8,43020151,50,84278bc487c0a96e09000cfd8b87eca2764ff4d8d15c3af818aad694cd508a57,0.096590340965999999,0.48295170482999999,False,,0.237106590009,120,1.1855329500459999,0.237106590009,120,1.1855329500459999,0.12664853610099999,240,0.63324268050499999,0.10977504982899999,240,0.54887524914399999,0.10977504982899999,240,0.54887524914399999
secondary,current_ratio,0.20000000000000001,9,43020152,51,841cc181c47603341f1b2fa581cd4e45d2b8cbfd5ab75fa3d74b8039fadc2bde,0.052094790521000002,0.260473952605,False,,0.252847782227,120,1.264238911136,0.252847782227,120,1.264238911136,0.11850259476199999,240,0.59251297381099999,0.125566894623,240,0.62783447311499996,0.125566894623,240,0.62783447311499996
secondary,current_ratio,0.20000000000000001,10,43020153,52,f25ed214a14e240d94345b859037df9ac2c6e520a810c422b8c6caf1e880bfde,0.053094690531000001,0.265473452655,False,,0.16300062712300001,120,0.815003135617,0.16300062712300001,120,0.815003135617,0.123134108161,240,0.61567054080700001,0.122886576796,240,0.61443288397999996,0.122886576796,240,0.61443288397999996
secondary,current_ratio,0.20000000000000001,11,43020154,53,426ddf293d0cfb0a57be5293eb275fabab40464c83d9d0574628952a1964e97c,0.194580541946,0.97290270972899995,False,,0.057190910046,120,0.28595455022900002,0.057190910046,120,0.28595455022900002,0.059794083657000001,240,0.29897041828600002,0.082872029080999998,240,0.414360145407,0.082872029080999998,240,0.414360145407
secondary,current_ratio,0.20000000000000001,12,43020155,54,95b7336ba5983a0826fa69d986e5afc651273bfaa45e291c0f7cc6fdbbe41d67,0.061993800619999997,0.30996900309999997,False,,0.19660879945099999,120,0.98304399725699998,0.19660879945099999,120,0.98304399725699998,0.113238824271,240,0.56619412135699998,0.122315850778,240,0.61157925389099999,0.122315850778,240,0.61157925389099999
secondary,current_ratio,0.20000000000000001,13,43020156,55,0571a71acac958e4902da576db2b76a33ca259ac62c2d410c826505dcae1d94a,0.059394060594,0.29697030296999999,False,,0.28373738217900002,120,1.418686910895,0.28373738217900002,120,1.418686910895,0.190853297157,240,0.95426648578499995,0.123237898235,240,0.61618949117499999,0.123237898235,240,0.61618949117499999
secondary,current_ratio,0.20000000000000001,14,43020157,56,b6cd55fece43d85285fb58ad06c6af784e1424155d07ed2e3bc6cc3fd3f3bccc,0.042695730426999999,0.213478652135,False,,0.276377550247,120,1.381887751234,0.276377550247,120,1.381887751234,0.205303165063,240,1.0265158253140001,0.13252863328,240,0.66264316639900001,0.13252863328,240,0.66264316639900001
secondary,current_ratio,0.20000000000000001,15,43020158,57,6db909b32052d946ef9fb5a9e3f304a2632817dc1a53d8f50c82feb290b4bd4a,0.013698630137,0.068493150685000004,False,,0.2124922313,120,1.062461156498,0.2124922313,120,1.062461156498,0.11331044943,240,0.56655224715100005,0.15738425620099999,240,0.78692128100699998,0.15738425620099999,240,0.78692128100699998
secondary,current_ratio,0.20000000000000001,16,43020159,58,f5e114f8c6b8b5a9563642d8d9bc6bfd82d82564e79d693dc256cd693969a0e3,0.00899910009,0.044995500450000003,True,,0.288894484108,120,1.4444724205399999,0.288894484108,120,1.4444724205399999,0.167183508117,240,0.83591754058400003,0.172363097977,240,0.86181548988300005,0.172363097977,240,0.86181548988300005
secondary,current_ratio,0.20000000000000001,17,43020160,59,79e454c5e35405d72d3938d2d357d3d67a3fc2db29a7aef618740190ee22c9d4,0.028997100290000001,0.14498550145,False,,0.166492056093,120,0.83246028046499998,0.166492056093,120,0.83246028046499998,0.11235281375099999,240,0.56176406875600005,0.14320977726600001,240,0.71604888632800001,0.14320977726600001,240,0.71604888632800001
secondary,current_ratio,0.20000000000000001,18,43020161,60,5ef81d1b38d77b534278cdd7d66f4686871934f82f451f8043393f01e73479f9,0.098490150984999997,0.49245075492500001,False,,0.28568102023300002,120,1.4284051011659999,0.28568102023300002,120,1.4284051011659999,0.15933520940500001,240,0.79667604702499994,0.107438462453,240,0.53719231226700004,0.107438462453,240,0.53719231226700004
secondary,current_ratio,0.20000000000000001,19,43020162,61,23ede756755319c717e35413050d86dd7364b551485d8f198d68f4bdf639d852,0.068493150685000004,0.34246575342500002,False,,0.19475554519400001,120,0.97377772597000001,0.19475554519400001,120,0.97377772597000001,0.139209048123,240,0.69604524061600004,0.117385714356,240,0.58692857178000002,0.117385714356,240,0.58692857178000002
secondary,current_ratio,0.20000000000000001,20,43020163,62,babca6b63797b0409f265d222dbe1dfcf6a23d12c124af77718fbbe1835828fa,0.033296670333000003,0.166483351665,False,,0.27434295719399998,120,1.371714785969,0.27434295719399998,120,1.371714785969,0.19826048484,240,0.99130242420100001,0.135786918442,240,0.67893459220899999,0.135786918442,240,0.67893459220899999
secondary,current_ratio,0.20000000000000001,21,43020164,63,99634ab004e7bc66e49ae1698b285dd97eb46edcab778c353c774bb1cf856922,0.13298670133000001,0.66493350664899997,False,,0.099286300790999996,120,0.49643150395699998,0.099286300790999996,120,0.49643150395699998,0.048144230236,240,0.240721151178,0.098296493632000007,240,0.49148246815899999,0.098296493632000007,240,0.49148246815899999
secondary,current_ratio,0.20000000000000001,22,43020165,64,a8cca6a931bf3d0f3fa8a9780eda969920432d72f0e2d8ff385c63c6f490de07,0.049295070492999998,0.24647535246499999,False,,0.186730767312,120,0.93365383656000001,0.186730767312,120,0.93365383656000001,0.12941653688300001,240,0.64708268441500005,0.12573898020099999,240,0.62869490100699998,0.12573898020099999,240,0.62869490100699998
secondary,current_ratio,0.20000000000000001,23,43020166,65,596b9edbff969905ff20f399f04d4444da83988506f15dceb5eaa7564241760f,0.216578342166,1,False,,0.12689221304500001,120,0.63446106522699997,0.12689221304500001,120,0.63446106522699997,0.071761213702999996,240,0.35880606851300001,0.079738575887999999,240,0.39869287944199999,0.079738575887999999,240,0.39869287944199999
secondary,current_ratio,0.20000000000000001,24,43020167,66,cb041d0b44b21491e951fa9c1f9445c082ccfeafc982f2a2377b9d72ee8c27eb,0.13888611138900001,0.69443055694400002,False,,0.079198345702999995,120,0.39599172851300002,0.079198345702999995,120,0.39599172851300002,0.034255528216000003,240,0.171277641082,0.097030389682000007,240,0.48515194841100001,0.097030389682000007,240,0.48515194841100001
secondary,current_ratio,0.20000000000000001,25,43020168,67,c86210a1ee500fde8aa5ed736d05ef7e7fe534af3e2a71784ed5be2303b56144,0.16278372162800001,0.81391860813899997,False,,0.033742609232000002,120,0.168713046162,0.033742609232000002,120,0.168713046162,0.012724810358000001,240,0.063624051789000005,0.090889183669999998,240,0.45444591835199999,0.090889183669999998,240,0.45444591835199999
secondary,current_ratio,0.20000000000000001,26,43020169,68,d64bdcca3418f2b1bcf8594a7c0eebb13aa2b0dfa921a3ef85433919ab3db05c,0.051894810519000002,0.259474052595,False,,0.23027854452499999,120,1.1513927226259999,0.23027854452499999,120,1.1513927226259999,0.19581181838699999,240,0.979059091933,0.125683709004,240,0.62841854502000005,0.125683709004,240,0.62841854502000005
secondary,current_ratio,0.20000000000000001,27,43020170,69,7b175010ea52deb56dd57c313bf07334a362eb5482edb40e6ae348c7f029bc1b,0.094790520948000001,0.47395260474000001,False,,0.175055048564,120,0.87527524281799995,0.175055048564,120,0.87527524281799995,0.10101331564799999,240,0.50506657824199996,0.107813762107,240,0.539068810535,0.107813762107,240,0.539068810535
secondary,current_ratio,0.20000000000000001,28,43020171,70,f1b6068d141a1369231ad9e2c3801b694eaed4f68188ea5d46f24028ee5c6ece,0.074592540745999997,0.37296270373000001,False,,0.254157491924,120,1.2707874596219999,0.254157491924,120,1.2707874596219999,0.19930742213399999,240,0.99653711067200001,0.11577581437999999,240,0.57887907190200005,0.11577581437999999,240,0.57887907190200005
secondary,current_ratio,0.20000000000000001,29,43020172,71,f6f5fe07ec30ef7f1ccf3172d9758467893a2a4a8b23b927f8ddd5db92027ee6,0.0023997600239999998,0.01199880012,True,,0.38005748123799998,120,1.900287406191,0.38005748123799998,120,1.900287406191,0.25921114611599999,240,1.29605573058,0.19339784929699999,240,0.96698924648600004,0.19339784929699999,240,0.96698924648600004
