control,role,repetition_id,status,analyzable,classification,model,model_status,permutations,bootstraps,significance_seed,family_reject,observed_ic,permutation_p_value_two_sided,bootstrap_ci_95,degeneracy,mechanism_invariants
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1003,ANALYZABLE,True,ANALYZABLE,lasso,ANALYZABLE,10000,10000,1045,False,-0.05036079467222087,0.43355664433556645,"[-0.17487608405233732, 0.07191874793942618]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1003,ANALYZABLE,True,ANALYZABLE,elasticnet,ANALYZABLE,10000,10000,1045,False,-0.086702912982661487,0.17978202179782021,"[-0.20706477903932743, 0.03297484743571074]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1003,ANALYZABLE,True,ANALYZABLE,random_forest,ANALYZABLE,10000,10000,1045,False,-0.071285917245760208,0.27267273272672732,"[-0.19766676760208868, 0.05883156044540765]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1003,ANALYZABLE,True,ANALYZABLE,gradient_boosting,ANALYZABLE,10000,10000,1045,False,-0.094731559171509369,0.15038496150384961,"[-0.22035238317506894, 0.0359985113341946]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1004,ANALYZABLE,True,ANALYZABLE,linear_regression,ANALYZABLE,10000,10000,1046,False,0.055016905202255217,0.39916008399160086,"[-0.07271732306609927, 0.18178078879418158]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1004,ANALYZABLE,True,ANALYZABLE,ridge,ANALYZABLE,10000,10000,1046,False,0.074012357429312989,0.25607439256074394,"[-0.05396887706705048, 0.19681478632954985]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1004,ANALYZABLE,True,ANALYZABLE,lasso,ANALYZABLE,10000,10000,1046,False,0.059775546033947337,0.36016398360163981,"[-0.06849781200542814, 0.1855673882561197]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1004,ANALYZABLE,True,ANALYZABLE,elasticnet,ANALYZABLE,10000,10000,1046,False,0.087006707890311175,0.18128187181281871,"[-0.04197572514619831, 0.2098191304327091]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1004,ANALYZABLE,True,ANALYZABLE,random_forest,ANALYZABLE,10000,10000,1046,False,-0.025354894015650248,0.69613038696130392,"[-0.16097278818809432, 0.10861785280220937]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1004,ANALYZABLE,True,ANALYZABLE,gradient_boosting,ANALYZABLE,10000,10000,1046,False,-0.013985608653194473,0.82981701829817023,"[-0.14631921049533433, 0.12150216184713362]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
