ticker,year,target_year,next_year_nominal_try_return_pct,cpi_december_yoy_pct,next_year_real_return_pct,usdtry_start_try_per_usd,usdtry_end_try_per_usd,next_year_usd_return_pct,real_target_status,usd_target_status
ARCLK,2021,2022,134.1116535767,64.2700000000,42.5163776567,13.2904996872,18.7029895782,66.3616848858,derived,derived
ASELS,2021,2022,186.4939870490,64.2700000000,74.4043264437,13.2904996872,18.7029895782,103.5850059874,derived,derived
ASTOR,2021,2022,268.5459429240,64.2700000000,124.3537730103,13.2904996872,18.7029895782,161.8918071184,derived,derived
BIMAS,2021,2022,118.7777398429,64.2700000000,33.1817981634,13.2904996872,18.7029895782,55.4652784675,derived,derived
BRSAN,2021,2022,203.6488439306,64.2700000000,84.8474121450,13.2904996872,18.7029895782,115.7753897261,derived,derived
BTCIM,2021,2022,181.2500000000,64.2700000000,71.2120289767,13.2904996872,18.7029895782,99.8585852490,derived,derived
CANTE,2021,2022,922.0588235294,64.2700000000,522.1822752355,13.2904996872,18.7029895782,626.2834862642,derived,derived
CCOLA,2021,2022,131.5994798440,64.2700000000,40.9870821477,13.2904996872,18.7029895782,64.5765133725,derived,derived
CIMSA,2021,2022,235.1620947631,64.2700000000,104.0312258861,13.2904996872,18.7029895782,138.1689674255,derived,derived
DOAS,2021,2022,397.1014492754,64.2700000000,202.6124364007,13.2904996872,18.7029895782,253.2444173418,derived,derived
DSTKF,2021,2022,268.5459429240,64.2700000000,124.3537730103,13.2904996872,18.7029895782,161.8918071184,derived,derived
EGEEN,2021,2022,266.8743000000,64.2700000000,123.3361538930,13.2904996872,18.7029895782,160.7039237767,derived,derived
ENKAI,2021,2022,139.0283400810,64.2700000000,45.5094296469,13.2904996872,18.7029895782,69.8555231395,derived,derived
EREGL,2021,2022,60.8764940239,64.2700000000,-2.0658099325,13.2904996872,18.7029895782,14.3201724282,derived,derived
FROTO,2021,2022,120.0304259635,64.2700000000,33.9443757007,13.2904996872,18.7029895782,56.3554476259,derived,derived
GUBRF,2021,2022,239.7172236504,64.2700000000,106.8041782738,13.2904996872,18.7029895782,141.4058798346,derived,derived
HEKTS,2021,2022,619.6808510638,64.2700000000,338.1085110269,13.2904996872,18.7029895782,411.4111883534,derived,derived
KONTR,2021,2022,1124.2718446602,64.2700000000,645.2802365984,13.2904996872,18.7029895782,769.9777380761,derived,derived
KRDMD,2021,2022,102.8473804100,64.2700000000,23.4841300359,13.2904996872,18.7029895782,44.1450327829,derived,derived
KUYAS,2021,2022,372.1428571429,64.2700000000,187.4187965805,13.2904996872,18.7029895782,235.5086345386,derived,derived
MAVI,2021,2022,287.8238341969,64.2700000000,136.0892641364,13.2904996872,18.7029895782,175.5908367233,derived,derived
MGROS,2021,2022,274.6952045516,64.2700000000,128.0971598902,13.2904996872,18.7029895782,166.2615234889,derived,derived
MIATK,2021,2022,230.2816901408,64.2700000000,101.0602606324,13.2904996872,18.7029895782,134.7009113784,derived,derived
OYAKC,2021,2022,157.0000000000,64.2700000000,56.4497473671,13.2904996872,18.7029895782,82.6263338986,derived,derived
PASEU,2021,2022,268.5459429240,64.2700000000,124.3537730103,13.2904996872,18.7029895782,161.8918071184,derived,derived
PETKM,2021,2022,147.0297029703,64.2700000000,50.3802903575,13.2904996872,18.7029895782,75.5413580448,derived,derived
PGSUS,2021,2022,434.6216657594,64.2700000000,225.4530137940,13.2904996872,18.7029895782,279.9065947097,derived,derived
SASA,2021,2022,312.4137931034,64.2700000000,151.0584970496,13.2904996872,18.7029895782,193.0646656953,derived,derived
SISE,2021,2022,215.7650695518,64.2700000000,92.2232115126,13.2904996872,18.7029895782,124.3852802548,derived,derived
TAVHL,2021,2022,175.0000000000,64.2700000000,67.4073172216,13.2904996872,18.7029895782,95.4172833545,derived,derived
TCELL,2021,2022,105.0295857988,64.2700000000,24.8125560351,13.2904996872,18.7029895782,45.6957260513,derived,derived
THYAO,2021,2022,544.9390815370,64.2700000000,292.6091687691,13.2904996872,18.7029895782,358.2990663387,derived,derived
TOASO,2021,2022,117.0136171545,64.2700000000,32.1078816305,13.2904996872,18.7029895782,54.2116782373,derived,derived
TRALT,2021,2022,423.9130434783,64.2700000000,218.9340984223,13.2904996872,18.7029895782,272.2969588019,derived,derived
TRMET,2021,2022,184.3501326260,64.2700000000,73.0992467438,13.2904996872,18.7029895782,102.0615652337,derived,derived
TSKB,2021,2022,195.2702702703,64.2700000000,79.7469229137,13.2904996872,18.7029895782,109.8215057148,derived,derived
TTKOM,2021,2022,179.4084186576,64.2700000000,70.0909591877,13.2904996872,18.7029895782,98.5499422562,derived,derived
TUPRS,2021,2022,218.7574671446,64.2700000000,94.0448451601,13.2904996872,18.7029895782,126.5117028304,derived,derived
TURSG,2021,2022,162.2641509434,64.2700000000,59.6543196831,13.2904996872,18.7029895782,86.3670832678,derived,derived
ULKER,2021,2022,144.3236714976,64.2700000000,48.7329831969,13.2904996872,18.7029895782,73.6184296119,derived,derived
AEFES,2022,2023,105.8015267176,64.7700000000,24.9023042529,18.7029895782,29.5198001862,30.3905780221,derived,derived
AGESA,2022,2023,56.0609000000,64.7700000000,-5.2856102446,18.7029895782,29.5198001862,-1.1238095159,derived,derived
AGHOL,2022,2023,83.6047000000,64.7700000000,11.4309036839,18.7029895782,29.5198001862,16.3272369375,derived,derived
AKBNK,2022,2023,105.9029000000,64.7700000000,24.9638283668,18.7029895782,29.5198001862,30.4548055383,derived,derived
AKENR,2022,2023,-19.6998000000,64.7700000000,-51.2652788736,18.7029895782,29.5198001862,-49.1238492722,derived,derived
AKSA,2022,2023,15.7236000000,64.7700000000,-29.7665837228,18.7029895782,29.5198001862,-26.6804900067,derived,derived
AKSEN,2022,2023,-34.8610000000,64.7700000000,-60.4667111732,18.7029895782,29.5198001862,-58.7295974075,derived,derived
ALARK,2022,2023,12.7927000000,64.7700000000,-31.5453662681,18.7029895782,29.5198001862,-28.5374332045,derived,derived
ALBRK,2022,2023,14.0299000000,64.7700000000,-30.7945014262,18.7029895782,29.5198001862,-27.7535749615,derived,derived
ANHYT,2022,2023,76.0109000000,64.7700000000,6.8221763671,18.7029895782,29.5198001862,11.5159996878,derived,derived
ARCLK,2022,2023,12.0118549512,64.7700000000,-32.0192662795,18.7029895782,29.5198001862,-29.0321566348,derived,derived
ASELS,2022,2023,39.5153774464,64.7700000000,-15.3271970344,18.7029895782,29.5198001862,-11.6066289772,derived,derived
ASTOR,2022,2023,69.7375804212,64.7700000000,3.0148573291,18.7029895782,29.5198001862,7.5413850237,derived,derived
BERA,2022,2023,-23.4718000000,64.7700000000,-53.5545305577,18.7029895782,29.5198001862,-51.5136918946,derived,derived
BIMAS,2022,2023,120.7131901840,64.7700000000,33.9522911841,18.7029895782,29.5198001862,39.8382261989,derived,derived
BRSAN,2022,2023,602.3172905526,64.7700000000,326.2409968760,18.7029895782,29.5198001862,344.9702532856,derived,derived
BTCIM,2022,2023,189.2307692308,64.7700000000,75.5360619231,18.7029895782,29.5198001862,83.2492099708,derived,derived
CANTE,2022,2023,-70.2879581152,64.7700000000,-81.9675657675,18.7029895782,29.5198001862,-81.1752110037,derived,derived
CCOLA,2022,2023,153.1147540984,64.7700000000,53.6170140792,18.7029895782,29.5198001862,60.3670274910,derived,derived
CEMTS,2022,2023,-20.4267000000,64.7700000000,-51.7064392790,18.7029895782,29.5198001862,-49.5843945008,derived,derived
CIMSA,2022,2023,103.5842293907,64.7700000000,23.5566118776,18.7029895782,29.5198001862,28.9857552071,derived,derived
DEVA,2022,2023,9.5875000000,64.7700000000,-33.4906232931,18.7029895782,29.5198001862,-30.5681658591,derived,derived
DOAS,2022,2023,51.6756503398,64.7700000000,-7.9470471932,18.7029895782,29.5198001862,-3.9021914214,derived,derived
DOHOL,2022,2023,7.5082000000,64.7700000000,-34.7525641804,18.7029895782,29.5198001862,-31.8855571011,derived,derived
DSTKF,2022,2023,69.7375804212,64.7700000000,3.0148573291,18.7029895782,29.5198001862,7.5413850237,derived,derived
EGEEN,2022,2023,70.4855000000,64.7700000000,3.4687746556,18.7029895782,29.5198001862,8.0152477192,derived,derived
EKGYO,2022,2023,-18.5162000000,64.7700000000,-50.5469442253,18.7029895782,29.5198001862,-48.3739506169,derived,derived
ENJSA,2022,2023,35.8885000000,64.7700000000,-17.5283728834,18.7029895782,29.5198001862,-13.9045256653,derived,derived
ENKAI,2022,2023,1.6252072968,64.7700000000,-38.3229912625,18.7029895782,29.5198001862,-35.6128706507,derived,derived
EREGL,2022,2023,-4.1567128524,64.7700000000,-41.8320767448,18.7029895782,29.5198001862,-39.2761472179,derived,derived
FROTO,2022,2023,45.4402868026,64.7700000000,-11.7313304591,18.7029895782,29.5198001862,-7.8527581094,derived,derived
GARAN,2022,2023,109.0705000000,64.7700000000,26.8862657037,18.7029895782,29.5198001862,32.4617157957,derived,derived
GUBRF,2022,2023,-44.1944847605,64.7700000000,-66.1312646480,18.7029895782,29.5198001862,-64.6430543789,derived,derived
HALKB,2022,2023,-9.8570000000,64.7700000000,-45.2916186199,18.7029895782,29.5198001862,-42.8877032055,derived,derived
HEKTS,2022,2023,-46.6420664207,64.7700000000,-67.6167181044,18.7029895782,29.5198001862,-66.1937794513,derived,derived
ISCTR,2022,2023,96.9450000000,64.7700000000,19.5272197609,18.7029895782,29.5198001862,24.7793094548,derived,derived
ISGYO,2022,2023,45.7707000000,64.7700000000,-11.5308005098,18.7029895782,29.5198001862,-7.6434167674,derived,derived
KCHOL,2022,2023,73.2217000000,64.7700000000,5.1293924865,18.7029895782,29.5198001862,9.7488339820,derived,derived
KONTR,2022,2023,31.7974105103,64.7700000000,-20.0112820839,18.7029895782,29.5198001862,-16.4965352184,derived,derived
KRDMD,2022,2023,29.5528898582,64.7700000000,-21.3734964749,18.7029895782,29.5198001862,-17.9186060352,derived,derived
KRVGD,2022,2023,-29.3945000000,64.7700000000,-57.1490562602,18.7029895782,29.5198001862,-55.2661629708,derived,derived
KUYAS,2022,2023,102.5718608169,64.7700000000,22.9421987115,18.7029895782,29.5198001862,28.3443443993,derived,derived
LOGO,2022,2023,9.0392000000,64.7700000000,-33.8233901803,18.7029895782,29.5198001862,-30.9155547005,derived,derived
MAVI,2022,2023,78.4415584416,64.7700000000,8.2973590105,18.7029895782,29.5198001862,13.0560026423,derived,derived
MGROS,2022,2023,128.2454144746,64.7700000000,38.5236477967,18.7029895782,29.5198001862,44.6104506556,derived,derived
MIATK,2022,2023,291.1159263272,64.7700000000,137.3708359090,18.7029895782,29.5198001862,147.8010368575,derived,derived
MPARK,2022,2023,65.1885000000,64.7700000000,0.2539904109,18.7029895782,29.5198001862,4.6592041427,derived,derived
NETAS,2022,2023,-1.7619000000,64.7700000000,-40.3786490259,18.7029895782,29.5198001862,-37.7588551110,derived,derived
NTGAZ,2022,2023,15.2502000000,64.7700000000,-30.0538933058,18.7029895782,29.5198001862,-26.9804241259,derived,derived
ODAS,2022,2023,-26.6667000000,64.7700000000,-55.4935364447,18.7029895782,29.5198001862,-53.5378987329,derived,derived
OTKAR,2022,2023,104.9615000000,64.7700000000,24.3924864963,18.7029895782,29.5198001862,29.8583586018,derived,derived
OYAKC,2022,2023,152.7001862197,64.7700000000,53.3654100988,18.7029895782,29.5198001862,60.1043678977,derived,derived
PASEU,2022,2023,69.7375804212,64.7700000000,3.0148573291,18.7029895782,29.5198001862,7.5413850237,derived,derived
PETKM,2022,2023,-10.9099804305,64.7700000000,-45.9306793898,18.7029895782,29.5198001862,-43.5548446460,derived,derived
PGSUS,2022,2023,28.8942774006,64.7700000000,-21.7732127204,18.7029895782,29.5198001862,-18.3358860254,derived,derived
PRKME,2022,2023,-22.0863000000,64.7700000000,-52.7136614675,18.7029895782,29.5198001862,-50.6358745687,derived,derived
RGYAS,2022,2023,,64.7700000000,,18.7029895782,29.5198001862,,missing_nominal_target,missing_nominal_target
SAHOL,2022,2023,40.3014000000,64.7700000000,-14.8501547612,18.7029895782,29.5198001862,-11.1086252124,derived,derived
SASA,2022,2023,-22.1843003413,64.7700000000,-52.7731385211,18.7029895782,29.5198001862,-50.6979650757,derived,derived
SELEC,2022,2023,53.2321000000,64.7700000000,-7.0024276264,18.7029895782,29.5198001862,-2.9160647678,derived,derived
SISE,2022,2023,4.3048694425,64.7700000000,-36.6966866283,18.7029895782,29.5198001862,-33.9151053248,derived,derived
SKBNK,2022,2023,43.1258000000,64.7700000000,-13.1360077684,18.7029895782,29.5198001862,-9.3191576878,derived,derived
SMRTG,2022,2023,25.3811000000,64.7700000000,-23.9053832615,18.7029895782,29.5198001862,-20.5617452757,derived,derived
SOKM,2022,2023,94.8398000000,64.7700000000,18.2495599927,18.7029895782,29.5198001862,23.4455086360,derived,derived
TAVHL,2022,2023,12.0375195414,64.7700000000,-32.0036902704,18.7029895782,29.5198001862,-29.0158962075,derived,derived
TBORG,2022,2023,90.2597000000,64.7700000000,15.4698670875,18.7029895782,29.5198001862,20.5436745441,derived,derived
