ticker,year,same_year_return_pct,next_year_return_pct,next_year_rank_by_return,next_year_return_percentile,next_year_top_10pct_returner,next_year_top_20pct_returner,target_year
AEFES,2022,137.5,105.8015267175572,10.0,77.5,False,False,2023
ARCLK,2022,134.1116535767353,12.01185495118548,29.0,30.0,False,False,2023
ASELS,2022,186.4939870490286,39.51537744641195,23.0,45.0,False,False,2023
ASTOR,2022,268.5459429240282,69.73758042123221,15.0,62.5,False,False,2023
BIMAS,2022,118.7777398429498,120.7131901840491,8.0,82.5,False,True,2023
BRSAN,2022,203.6488439306358,602.3172905525846,1.0,100.0,True,True,2023
BTCIM,2022,181.2500000000001,189.2307692307692,4.0,92.5,True,True,2023
CANTE,2022,922.0588235294118,-70.28795811518324,40.0,2.5,False,False,2023
CCOLA,2022,131.5994798439532,153.1147540983607,5.0,90.0,True,True,2023
CIMSA,2022,235.1620947630923,103.584229390681,11.0,75.0,False,False,2023
DOAS,2022,397.1014492753623,51.6756503398172,19.0,55.00000000000001,False,False,2023
DSTKF,2022,268.5459429240282,69.73758042123221,15.0,62.5,False,False,2023
ENKAI,2022,139.0283400809717,1.625207296849098,31.0,25.0,False,False,2023
EREGL,2022,60.87649402390437,-4.156712852365033,32.0,22.5,False,False,2023
FROTO,2022,120.0304259634889,45.44028680259913,20.0,52.5,False,False,2023
GUBRF,2022,239.7172236503856,-44.1944847605225,38.0,7.5,False,False,2023
HEKTS,2022,619.6808510638298,-46.64206642066421,39.0,5.0,False,False,2023
KONTR,2022,1124.271844660194,31.79741051028179,24.0,42.5,False,False,2023
KRDMD,2022,102.8473804100228,29.55288985823339,25.0,40.0,False,False,2023
KUYAS,2022,372.1428571428572,102.571860816944,12.0,72.5,False,False,2023
MAVI,2022,287.8238341968913,78.44155844155844,13.0,70.0,False,False,2023
MGROS,2022,274.6952045516121,128.2454144746197,7.0,85.0,False,True,2023
MIATK,2022,230.2816901408451,291.115926327194,2.0,97.5,True,True,2023
OYAKC,2022,157.0,152.7001862197393,6.0,87.5,False,True,2023
PASEU,2022,268.5459429240282,69.73758042123221,15.0,62.5,False,False,2023
PETKM,2022,147.029702970297,-10.90998043052838,34.0,17.5,False,False,2023
PGSUS,2022,434.6216657593902,28.89427740058196,26.0,37.5,False,False,2023
SASA,2022,312.4137931034484,-22.18430034129693,35.0,15.0,False,False,2023
SISE,2022,215.7650695517775,4.304869442484133,30.0,27.500000000000004,False,False,2023
TAVHL,2022,175.0,12.03751954142783,28.0,32.5,False,False,2023
TCELL,2022,105.0295857988166,42.58451472191928,22.0,47.5,False,False,2023
THYAO,2022,544.9390815370197,55.72913034381759,18.0,57.49999999999999,False,False,2023
TOASO,2022,117.0136171544843,26.15972222222223,27.0,35.0,False,False,2023
TRALT,2022,423.913043478261,-33.02469135802468,37.0,10.0,False,False,2023
TRMET,2022,184.3501326259947,-24.25,36.0,12.5,False,False,2023
TSKB,2022,195.2702702702703,43.32603938730853,21.0,50.0,False,False,2023
TTKOM,2022,179.4084186575654,-7.797123391370192,33.0,20.0,False,False,2023
TUPRS,2022,218.757467144564,111.1792014856082,9.0,80.0,False,True,2023
TURSG,2022,162.2641509433962,202.6666666666667,3.0,95.0,True,True,2023
ULKER,2022,144.3236714975846,77.40046838407494,14.0,67.5,False,False,2023
AEFES,2023,105.8015267175572,40.94955489614242,19.0,55.00000000000001,False,False,2024
ARCLK,2023,12.01185495118548,10.50583657587549,31.0,25.0,False,False,2024
ASELS,2023,39.51537744641195,61.43397906924963,13.0,70.0,False,False,2024
ASTOR,2023,69.73758042123221,22.44742290508881,24.0,42.5,False,False,2024
BIMAS,2023,120.7131901840491,79.18418401028458,6.0,87.5,False,True,2024
BRSAN,2023,602.3172905525846,-27.07275803722504,38.0,7.5,False,False,2024
BTCIM,2023,189.2307692307692,21.27659574468083,25.0,40.0,False,False,2024
CANTE,2023,-70.28795811518324,-26.87224669603525,37.0,10.0,False,False,2024
CCOLA,2023,153.1147540983607,26.74870466321244,22.0,47.5,False,False,2024
CIMSA,2023,103.584229390681,64.08450704225353,12.0,72.5,False,False,2024
DOAS,2023,51.6756503398172,-12.0467655541821,36.0,12.5,False,False,2024
DSTKF,2023,69.73758042123221,37.57325295457787,20.0,52.5,False,False,2024
ENKAI,2023,1.625207296849098,49.51044386422976,17.0,60.0,False,False,2024
EREGL,2023,-4.156712852365033,20.48853439680957,26.0,37.5,False,False,2024
FROTO,2023,45.44028680259913,33.23062702203052,21.0,50.0,False,False,2024
GUBRF,2023,-44.1944847605225,86.60598179453837,4.0,92.5,True,True,2024
HEKTS,2023,-46.64206642066421,-46.47302904564315,40.0,2.5,False,False,2024
KONTR,2023,31.79741051028179,-42.50216700375614,39.0,5.0,False,False,2024
KRDMD,2023,29.55288985823339,14.05723905723906,29.0,30.0,False,False,2024
KUYAS,2023,102.571860816944,54.59297983569826,15.0,65.0,False,False,2024
MAVI,2023,78.44155844155844,53.05676855895197,16.0,62.5,False,False,2024
MGROS,2023,128.2454144746197,66.8089082697399,11.0,75.0,False,False,2024
MIATK,2023,291.115926327194,16.73130193905817,27.0,35.0,False,False,2024
OYAKC,2023,152.7001862197393,68.75460574797344,10.0,77.5,False,False,2024
PASEU,2023,69.73758042123221,124.6200607902735,2.0,97.5,True,True,2024
PETKM,2023,-10.90998043052838,-0.6040637012630299,33.0,20.0,False,False,2024
PGSUS,2023,28.89427740058196,60.28294077808715,14.0,67.5,False,False,2024
SASA,2023,-22.18430034129693,-10.7456140350877,35.0,15.0,False,False,2024
SISE,2023,4.304869442484133,-8.14163283716735,34.0,17.5,False,False,2024
TAVHL,2023,12.03751954142783,154.8837209302326,1.0,100.0,True,True,2024
TCELL,2023,42.58451472191928,70.59273422562143,9.0,80.0,False,True,2024
THYAO,2023,55.72913034381759,22.91983878190776,23.0,45.0,False,False,2024
TOASO,2023,26.15972222222223,5.322838113062161,32.0,22.5,False,False,2024
TRALT,2023,-33.02469135802468,15.61699948796722,28.0,32.5,False,False,2024
TRMET,2023,-24.25,75.03536067892503,8.0,82.5,False,True,2024
TSKB,2023,43.32603938730853,86.56488549618322,5.0,90.0,True,True,2024
TTKOM,2023,-7.797123391370192,78.48932676518882,7.0,85.0,False,True,2024
TUPRS,2023,111.1792014856082,13.41892367217727,30.0,27.500000000000004,False,False,2024
TURSG,2023,202.6666666666667,97.79735682819384,3.0,95.0,True,True,2024
ULKER,2023,77.40046838407494,43.80198019801981,18.0,57.49999999999999,False,False,2024
AEFES,2024,40.94955489614242,-8.343057176196027,32.0,22.5,False,False,2025
ARCLK,2024,10.50583657587549,-29.86111111111111,38.0,7.5,False,False,2025
ASELS,2024,61.43397906924963,215.2380952380952,2.0,97.5,True,True,2025
ASTOR,2024,22.44742290508881,-0.755581967908995,23.0,45.0,False,False,2025
BIMAS,2024,79.18418401028458,3.541445527356956,18.0,57.49999999999999,False,False,2025
BRSAN,2024,-27.07275803722504,28.69565217391303,10.0,77.5,False,False,2025
BTCIM,2024,21.27659574468083,-14.95535714285715,36.0,12.5,False,False,2025
CANTE,2024,-26.87224669603525,20.48192771084338,14.0,67.5,False,False,2025
CCOLA,2024,26.74870466321244,2.47472987103518,20.0,52.5,False,False,2025
CIMSA,2024,64.08450704225353,-3.686826843413414,28.0,32.5,False,False,2025
DOAS,2024,-12.0467655541821,10.66007765619486,15.0,65.0,False,False,2025
DSTKF,2024,37.57325295457787,24.90409759095856,11.0,75.0,False,False,2025
ENKAI,2024,49.51044386422976,66.11323967645811,5.0,90.0,True,True,2025
EREGL,2024,20.48853439680957,-1.854140914709518,26.0,37.5,False,False,2025
FROTO,2024,33.23062702203052,6.727335560419306,17.0,60.0,False,False,2025
GUBRF,2024,86.60598179453837,21.67832167832169,13.0,70.0,False,False,2025
HEKTS,2024,-46.47302904564315,-21.73913043478261,37.0,10.0,False,False,2025
KONTR,2024,-42.50216700375614,-42.22668004012037,40.0,2.5,False,False,2025
KRDMD,2024,14.05723905723906,-9.136690647482013,33.0,20.0,False,False,2025
KUYAS,2024,54.59297983569826,162.2549019607843,3.0,95.0,True,True,2025
MAVI,2024,53.05676855895197,2.593116454502592,19.0,55.00000000000001,False,False,2025
MGROS,2024,66.8089082697399,-0.9900990099009874,24.0,42.5,False,False,2025
MIATK,2024,16.73130193905817,-6.008583690987109,30.0,27.500000000000004,False,False,2025
OYAKC,2024,68.75460574797344,0.3484320557491287,22.0,47.5,False,False,2025
PASEU,2024,124.6200607902735,363.7234770704997,1.0,100.0,True,True,2025
PETKM,2024,-0.6040637012630299,-9.833333333333329,34.0,17.5,False,False,2025
PGSUS,2024,60.28294077808715,-11.08534322820037,35.0,15.0,False,False,2025
SASA,2024,-10.7456140350877,-32.02933985330073,39.0,5.0,False,False,2025
SISE,2024,-8.14163283716735,-6.115459882583167,31.0,25.0,False,False,2025
TAVHL,2024,154.8837209302326,7.866184448462917,16.0,62.5,False,False,2025
TCELL,2024,70.59273422562143,0.8121277747698912,21.0,50.0,False,False,2025
THYAO,2024,22.91983878190776,-4.390556564469605,29.0,30.0,False,False,2025
TOASO,2024,5.322838113062161,24.76637874425418,12.0,72.5,False,False,2025
TRALT,2024,15.61699948796722,82.45770258236865,4.0,92.5,True,True,2025
TRMET,2024,75.03536067892503,46.8354430379747,6.0,87.5,False,True,2025
TSKB,2024,86.56488549618322,-2.448657187993689,27.0,35.0,False,False,2025
TTKOM,2024,78.48932676518882,30.09049773755655,9.0,80.0,False,True,2025
TUPRS,2024,13.41892367217727,38.85542168674698,8.0,82.5,False,True,2025
TURSG,2024,97.79735682819384,41.94711538461539,7.0,85.0,False,True,2025
ULKER,2024,43.80198019801981,-1.44186895418872,25.0,40.0,False,False,2025
AEFES,2025,-8.343057176196027,,,,,,2026
ARCLK,2025,-29.86111111111111,,,,,,2026
ASELS,2025,215.2380952380952,,,,,,2026
ASTOR,2025,-0.755581967908995,,,,,,2026
BIMAS,2025,3.541445527356956,,,,,,2026
BRSAN,2025,28.69565217391303,,,,,,2026
BTCIM,2025,-14.95535714285715,,,,,,2026
CANTE,2025,20.48192771084338,,,,,,2026
CCOLA,2025,2.47472987103518,,,,,,2026
CIMSA,2025,-3.686826843413414,,,,,,2026
DOAS,2025,10.66007765619486,,,,,,2026
DSTKF,2025,24.90409759095856,,,,,,2026
ENKAI,2025,66.11323967645811,,,,,,2026
EREGL,2025,-1.854140914709518,,,,,,2026
FROTO,2025,6.727335560419306,,,,,,2026
GUBRF,2025,21.67832167832169,,,,,,2026
HEKTS,2025,-21.73913043478261,,,,,,2026
KONTR,2025,-42.22668004012037,,,,,,2026
KRDMD,2025,-9.136690647482013,,,,,,2026
KUYAS,2025,162.2549019607843,,,,,,2026
MAVI,2025,2.593116454502592,,,,,,2026
MGROS,2025,-0.9900990099009874,,,,,,2026
MIATK,2025,-6.008583690987109,,,,,,2026
OYAKC,2025,0.3484320557491287,,,,,,2026
PASEU,2025,363.7234770704997,,,,,,2026
PETKM,2025,-9.833333333333329,,,,,,2026
PGSUS,2025,-11.08534322820037,,,,,,2026
SASA,2025,-32.02933985330073,,,,,,2026
SISE,2025,-6.115459882583167,,,,,,2026
TAVHL,2025,7.866184448462917,,,,,,2026
TCELL,2025,0.8121277747698912,,,,,,2026
THYAO,2025,-4.390556564469605,,,,,,2026
TOASO,2025,24.76637874425418,,,,,,2026
TRALT,2025,82.45770258236865,,,,,,2026
TRMET,2025,46.8354430379747,,,,,,2026
TSKB,2025,-2.448657187993689,,,,,,2026
TTKOM,2025,30.09049773755655,,,,,,2026
TUPRS,2025,38.85542168674698,,,,,,2026
TURSG,2025,41.94711538461539,,,,,,2026
ULKER,2025,-1.44186895418872,,,,,,2026
