ticker,year,indices,same_year_return_pct,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,current_ratio,leverage_ratio,financial_debt_ratio,net_debt_to_ebitda,revenue_growth_pct,gross_profit_growth_pct,operating_income_growth_pct,ebitda_growth_pct,net_income_growth_pct
MGROS,2020,"BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",73.39055793991415,209583279000.0,76260429000.0,133322850000.0,96259374000.0,33411199000.0,79034025000.0,-19998945000.0,3891267000.0,0.7922389875504489,61.870667172833,15.17379160767878,0.142432880228243,7.339362780741634,13.02017943116364,-1.794588086708604,32.13690929020486,-22.06601997344972
MIATK,2020,"BIST 50 (XU050), BIST 100 (XU100), BIST TÜM (XUTUM), BIST GERİ ALIM (XUGRA)",82.82446994315877,7172560147.0,2804219729.0,4368340418.0,1517751456.0,189212159.0,5462068845.0,1286468273.0,394616647.0,1.847614586640199,23.79852632834255,15.20021039427611,0.3330521153494236,-18.4632630319098,-53.81436821230893,-66.18290504276872,-46.32359136365828,36.37131488871179
OYAKC,2020,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",50.34965034965035,80297285000.0,32616470000.0,47680815000.0,14527572000.0,2817506000.0,62952207000.0,18088898000.0,-10594251000.0,2.245142546875693,21.60107654947487,5.204040211322213,-0.7232428666281365,-2.843358548763253,-8.771722919867184,-20.4234249453016,-12.17881435726,-6.595613526716291
PASEU,2020,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",82.82446994315877,5464466691.0,2441036711.0,3023429980.0,1384973020.0,576638214.0,3509231734.0,1056063691.0,687961900.0,1.762515713844014,35.89757875605284,13.60982571684231,7.64164761536178,25.73359184553655,-26.96451676198998,-57.38126719034544,-69.3315128585281,307.216862353112
PETKM,2020,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",52.76073619631904,151331860000.0,30835350000.0,120496510000.0,55006857000.0,32362396000.0,63962607000.0,-24171507000.0,46527779000.0,0.5605728391280381,57.73354863939424,33.97639466005374,2.791092340904628,-12.05477756044882,7.193859483812521,-1.794588086708604,10.33073241836171,36.37131488871179
PGSUS,2020,"BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",-13.29545454545456,410168210677.0,90234819051.0,319933391626.0,88019782755.0,205294556815.0,116853871107.0,2215036296.0,161358090812.0,1.025165209759327,71.51074411297557,56.85101508601036,4.349742212839163,37.83230006279612,5.054118977448702,-43.73327841778256,16.78114508964414,3.498425767369621
SASA,2020,"BIST GERİ ALIM (XUGRA), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",156.25,320573077000.0,29764003000.0,290809074000.0,67495440000.0,98775585000.0,154302052000.0,-37731437000.0,121663174000.0,0.440977983105229,51.86680882749239,38.28726296937282,18.61610540302832,-16.46670886468292,-68.43844594308584,-86.00212771280404,-36.1765306482191,36.37131488871179
SISE,2020,"BIST MALİ (XUMAL), BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",41.43763213530656,506932507000.0,141493818000.0,365438689000.0,112306001000.0,125367407000.0,242571375000.0,29187817000.0,120773226000.0,1.259895435151324,46.88462560953898,31.94177622544928,6.413439282623113,-7.572163029310458,12.68328123076104,-1.794588086708604,32.94615882172624,50.25230579952713
TAVHL,2020,"BIST MALİ (XUMAL), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",-21.80616740088105,246228974000.0,38208657000.0,208020317000.0,48789806000.0,119625419000.0,77122493000.0,-10581149000.0,87880768000.0,0.7831278730643036,68.3978096745024,41.69603208434764,3.404189463877771,27.5773157445726,18.10960866378882,-13.74530205691223,15.45370882081574,36.37131488871179
TCELL,2020,"BIST GERİ ALIM (XUGRA), BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",17.21384205856258,500572832000.0,156628647000.0,343944185000.0,91990404000.0,149249359000.0,259333069000.0,64638243000.0,14888303000.0,1.702662888620426,48.19273991282052,31.69351508073854,0.1419735100634885,10.68517959041351,26.95675700175241,58.38199528363608,13.34124300256748,-42.82623661516906
