year,row_model,column_model,shared_ranked_ticker_count,rank_spearman,status
2024,baseline_rank_score,random_forest,80,-0.2191527142,complete
2024,baseline_rank_score,ridge,80,0.1356305673,complete
2024,baseline_rank_score,robust_rank_aggregation,80,0.9487042988,complete
2024,elasticnet,baseline_equal_weight,80,-0.3353961556,complete
2024,elasticnet,baseline_rank_score,80,-0.3353961556,complete
2024,elasticnet,elasticnet,80,1.0,complete
2024,elasticnet,gradient_boosting,80,0.3975644489,complete
2024,elasticnet,lasso,80,0.4641819034,complete
2024,elasticnet,linear_regression,80,0.4062353493,complete
2024,elasticnet,random_forest,80,0.3973651979,complete
2024,elasticnet,ridge,80,0.685302391,complete
2024,elasticnet,robust_rank_aggregation,80,-0.3563444203,complete
2024,gradient_boosting,baseline_equal_weight,80,0.0641940002,complete
2024,gradient_boosting,baseline_rank_score,80,0.0641940002,complete
2024,gradient_boosting,elasticnet,80,0.3975644489,complete
2024,gradient_boosting,gradient_boosting,80,1.0,complete
2024,gradient_boosting,lasso,80,0.6032501363,complete
2024,gradient_boosting,linear_regression,80,0.5612081646,complete
2024,gradient_boosting,random_forest,80,0.663193427,complete
2024,gradient_boosting,ridge,80,0.5866771371,complete
2024,gradient_boosting,robust_rank_aggregation,80,-0.0181127568,complete
2024,lasso,baseline_equal_weight,80,0.2451242382,complete
2024,lasso,baseline_rank_score,80,0.2451242382,complete
2024,lasso,elasticnet,80,0.4641819034,complete
2024,lasso,gradient_boosting,80,0.6032501363,complete
2024,lasso,lasso,80,1.0,complete
2024,lasso,linear_regression,80,0.9706516643,complete
2024,lasso,random_forest,80,0.2906604,complete
2024,lasso,ridge,80,0.9232770745,complete
2024,lasso,robust_rank_aggregation,80,0.2041043676,complete
2024,linear_regression,baseline_equal_weight,80,0.2467885607,complete
2024,linear_regression,baseline_rank_score,80,0.2467885607,complete
2024,linear_regression,elasticnet,80,0.4062353493,complete
2024,linear_regression,gradient_boosting,80,0.5612081646,complete
2024,linear_regression,lasso,80,0.9706516643,complete
2024,linear_regression,linear_regression,80,1.0,complete
2024,linear_regression,random_forest,80,0.2635388159,complete
2024,linear_regression,ridge,80,0.8595405532,complete
2024,linear_regression,robust_rank_aggregation,80,0.2178676374,complete
2024,random_forest,baseline_equal_weight,80,-0.2191527142,complete
2024,random_forest,baseline_rank_score,80,-0.2191527142,complete
2024,random_forest,elasticnet,80,0.3973651979,complete
2024,random_forest,gradient_boosting,80,0.663193427,complete
2024,random_forest,lasso,80,0.2906604,complete
