ticker,year,revenue,gross_profit,operating_income,ebitda,net_income,gross_profit_margin,ebitda_margin,net_profit_margin,roe,roa
ASTOR,2021,35290767390.0,13039821956.0,9777395430.0,11102586376,7668909328,36.94966961725793,31.46031440264467,21.73063918744103,25.33602228118946,16.91523939254488
BIMAS,2021,70526679000.0,13414042000.0,4123282000.0,5925940000,2932482000,19.3390599066872,8.402408966399793,4.157975452098063,38.55680309876321,9.642477430545622
BRSAN,2021,7329974000.0,590389000.0,304060000.0,589152000,94322000,8.412569862143778,8.0375728481438,1.779702390262455,1.41835738389588,0.5724644027490576
BTCIM,2021,1933796415.0,331932813.0,164722617.0,247011306,-604406612,17.16482719821362,12.77338731647199,-31.25492462969531,-56.0912240091793,-13.71348877754799
CANTE,2021,1192936521.0,327577523.0,250916649.0,316550594,-180963007,27.45976145699709,26.53540975798493,-15.16954203466791,-5.958179929072846,-3.258756597630365
CCOLA,2021,21929535000.0,7716991000.0,3433828000.0,4534165000,2271412000,35.56278859692421,20.67606540676763,10.35777548406749,17.39850453619527,7.311765140987912
CIMSA,2021,3745370304.0,712959657.0,743689216.0,876070379,1016600770,19.03575879369177,23.39075466221243,27.14286405577268,40.74876227672377,19.36838318691661
DOAS,2021,24306203000.0,3521497000.0,3092743000.0,3274884000,2331581000,14.48805887122723,13.47344955524316,9.592534876796677,53.59432699104111,23.90237671481934
DSTKF,2021,7014794000.0,143444000.0,10267860592.31579,3169731000,125939000,45.18637325629234,45.18637325629234,53.68340110914163,44.82459892971745,6.473721437574406
ENKAI,2021,25782036000.0,6709307000.0,5123793000.0,6225148000,5159042000,26.02318529071947,24.14529248194363,20.01021951873778,5.798109319263789,4.252250163008465
EREGL,2021,68227404000.0,25516411000.0,24871472000.0,26923403000,15527082000,37.39906475116656,39.46127424106595,22.75783789164835,18.86807163286871,12.27997463538645
FROTO,2021,71101258000.0,11154160000.0,9437743000.0,10492007000,8801005000,15.68771117945621,14.75642948539673,12.37812838698297,86.72190023824122,20.56653011660616
GUBRF,2021,10769401513.0,2584968074.0,463293850.0,664898014,523125635,24.79583218107864,6.173955100451829,4.857518167267908,19.24236530513932,4.00874539062495
HEKTS,2021,2020718336.0,708324969.0,429442041.0,478342273,325757016,35.05312721624158,23.67189253831762,16.12085218392357,23.06791117100804,7.042152662177359
