ticker,year,market_cap,enterprise_value,pe_ratio,pb_ratio,ps_ratio,ev_ebitda,gross_margin,ebitda_margin,net_margin,roe,roic,roa,working_capital,net_debt,net_debt_to_ebitda,current_ratio,leverage_ratio,financial_debt_ratio,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,total_equity,revenue,gross_profit,operating_income,ebitda,net_income
MIATK,2023,19740240000.0,20134856647.0,46.89673957668054,3.614059170651116,7.303077978827358,16.99359783608103,33.89222851654659,42.97546669794295,-26.47352555845821,-12.51327753441295,10.98337194139916,-9.503758464989737,1286468273.0,394616647.0,0.3330521153494236,1.847614586640199,23.79852632834255,15.20021039427611,7172560147,2804219729.0,4368340418.0,1517751456.0,189212159.0,5462068845.0,2757037061.0,934421301.0,691765143.0,1184849544,-729884911
OYAKC,2023,115221242057.1,104626991057.1,13.1489760019624,1.830297102325578,1.851719906789778,7.142621497150992,26.69626129246687,25.92493396896896,15.50858517114991,14.28705636246257,12.88909113108498,11.36779242365375,18088898000.0,-10594251000.0,-0.7232428666281365,2.245142546875693,21.60107654947487,5.204040211322213,80297285000,32616470000.0,47680815000.0,14527572000.0,2817506000.0,62952207000.0,56502601000.0,15084082000.0,11347996000.0,14648262000,8762754000
PASEU,2023,88704000000.0,89391961900.0,80.67545326798654,25.27732755308544,36.44915432099253,992.935615308996,12.39932151276219,3.67084771248232,44.83227500955415,37.42388743971068,0.7270634300673954,23.5173588407094,1056063691.0,687961900.0,7.64164761536178,1.762515713844014,35.89757875605284,13.60982571684231,5464466691,2441036711.0,3023429980.0,1384973020.0,576638214.0,3509231734.0,2452511274.0,304094758.0,139948218.0,90027954,1099516599
PETKM,2023,60572160000.0,107099939000.0,46.89673957668054,0.946993295629742,1.202349374052742,57.2530112963621,-3.45339747303963,-3.900978176324827,-11.48900827517709,-14.58209031731502,-9.322689023136556,-6.538488900798079,-24171507000.0,46527779000.0,2.791092340904628,0.5605728391280381,57.73354863939424,33.97639466005374,151331860000,30835350000.0,120496510000.0,55006857000.0,32362396000.0,63962607000.0,89075556000.0,-3076133000.0,-13090044000.0,-3474818000,-10233898000
PGSUS,2023,90300000000.0,251658090812.0,6.567168200880356,0.7727600219364121,1.632791045831044,6.783966117217225,16.99614920673892,24.06838444677865,8.921324224991801,14.34010151603534,5.748573437955374,3.964049302414276,2215036296.0,161358090812.0,4.349742212839163,1.025165209759327,71.51074411297557,56.85101508601036,410168210677,90234819051.0,319933391626.0,88019782755.0,205294556815.0,116853871107.0,154127554444.0,26195749122.0,11707541095.0,37096012342,13750218852
SASA,2023,137581032230.4,259244206230.4,46.89673957668054,0.8916344951161116,4.880407506104599,39.66785765682504,6.709464984877364,12.30317893223785,-41.38895680195948,-14.06973223884016,-1.398432666035651,-7.039300736462891,-37731437000.0,121663174000.0,18.61610540302832,0.440977983105229,51.86680882749239,38.28726296937282,320573077000,29764003000.0,290809074000.0,67495440000.0,98775585000.0,154302052000.0,53119377000.0,3564026000.0,1057482000.0,6535372000,-21985556000
SISE,2023,146605424720.16,267378650720.16,14.84230580155356,0.6043805651848245,1.190852789539348,14.19864980557395,27.60643852787815,8.387084728801861,4.399263912263146,4.063845010275606,-0.2702609470269181,1.9194076947098,29187817000.0,120773226000.0,6.413439282623113,1.259895435151324,46.88462560953898,31.94177622544928,506932507000,141493818000.0,365438689000.0,112306001000.0,125367407000.0,242571375000.0,224527039000.0,61983919000.0,4741396000.0,18831273000,9877537000
TAVHL,2023,101173828125.0,189054596125.0,64.68464034475858,1.311858890829683,2.195055215529908,7.323304960493657,32.43387728997119,21.37348665993845,-16.25474751367955,2.233768537710422,8.617968331080194,0.7098587650598988,-10581149000.0,87880768000.0,3.404189463877771,0.7831278730643036,68.3978096745024,41.69603208434764,246228974000,38208657000.0,208020317000.0,48789806000.0,119625419000.0,77122493000.0,18395155000.0,5966262000.0,1863550000.0,3931686000,-2990086000
TCELL,2023,246620000000.0,261508303000.0,14.00931049391198,0.9509778330660946,1.082980966052209,2.493719511730537,28.30419953721862,43.42833911182999,7.290324738656519,6.984914421986608,7.035954524476813,3.701418776970394,64638243000.0,14888303000.0,0.1419735100634885,1.702662888620426,48.19273991282052,31.69351508073854,500572832000,156628647000.0,343944185000.0,91990404000.0,149249359000.0,259333069000.0,241470821000.0,68346383000.0,73436427000.0,104866767000,17604007000
THYAO,2023,425385000000.0,955779000000.0,3.273678053885994,0.4401803416433151,0.921924992355706,5.645108705281996,8.360953787588047,8.241943549606336,3.843604265761103,15.43486085094201,3.465553827405589,7.037191383974835,-12723000000.0,530394000000.0,3.132661197441395,0.9744707235000571,55.22019357442635,37.71744917709785,2158033000000,485646000000.0,1672387000000.0,498369000000.0,693301000000.0,966388000000.0,257961000000.0,21568000000.0,-2451000000.0,21261000000,9915000000
