ticker,year,source,retrieved_at,revenue,gross_profit,operating_income,net_income,ebitda,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,roe,roa,gross_margin,net_margin,ebitda_margin,_bank_warning
ALBRK,2025,yfinance_unofficial,2026-06-10,24889645000.0,,,15017440000.0,,470998700000.0,,,,,28680589000.0,,18263583000.0,52.361,3.1884,,60.3361,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
ANHYT,2022,yfinance_unofficial,2026-06-10,7895914169.0,,,1391751856.0,,90659179398.0,,,,,3466206841.0,,,40.152,1.5351,,17.6262,,
ANHYT,2023,yfinance_unofficial,2026-06-10,16620767219.0,,,2853815200.0,,162865081357.0,,,,,6449457562.0,,,44.2489,1.7523,,17.1702,,
ANHYT,2024,yfinance_unofficial,2026-06-10,23265188623.0,,,4305802455.0,,260339161440.0,,,,,10071525906.0,,,42.7522,1.6539,,18.5075,,
ANHYT,2025,yfinance_unofficial,2026-06-10,37413519819.0,,,5994213205.0,,443673308407.0,,,,,13657246469.0,,,43.8903,1.351,,16.0215,,
BERA,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
BERA,2022,yfinance_unofficial,2026-06-10,15047030769.0,4245229647.0,3041774478.0,-1265340829.0,3069994298.0,21521903000.0,9861493161.0,11660409839.0,3944554413.0,2792648326.0,12300354617.0,5916938748.0,,-10.287,-5.8793,28.2131,-8.4092,20.4027,
BERA,2023,yfinance_unofficial,2026-06-10,18557079447.0,4199751464.0,2235618288.0,4305975987.0,2338539040.0,34644555324.0,12427890255.0,22216665069.0,5206472261.0,4469137324.0,21604598649.0,7221417994.0,,19.9308,12.429,22.6315,23.204,12.6019,
BERA,2024,yfinance_unofficial,2026-06-10,21810672869.0,4916786617.0,2584632344.0,1043341613.0,2682131562.0,43961082311.0,15031330846.0,28929751465.0,6023055481.0,4087482500.0,29409620632.0,9008275365.0,712771194.0,3.5476,2.3733,22.543,4.7836,12.2973,
BERA,2025,yfinance_unofficial,2026-06-10,19129878696.0,4651787570.0,2118088952.0,164262781.0,2254097819.0,42438831533.0,13420154406.0,29018677127.0,4654278457.0,3978949873.0,29863943076.0,8765875949.0,98871672.0,0.55,0.3871,24.3169,0.8587,11.7831,
