ticker,year,market_cap,enterprise_value,pe,pb,ev_ebitda,year_end_close,shares_outstanding,source_price,source_shares,source_financials,validation_status,validation_notes
EREGL,2021,41744748500.0,73216023500.0,2.6885,0.1413,2.7194,11.927071,3500000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
EREGL,2022,69715453500.0,101186728500.0,3.872,0.2359,3.7388,19.918701,3500000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
EREGL,2023,69276144000.0,100747419000.0,17.1769,0.2344,5.3855,19.793184,3500000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
EREGL,2024,166930988000.0,,12.3824,,,23.847284,7000000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
EREGL,2025,164503241000.0,195974516000.0,321.4203,0.5567,9.2234,23.500463,7000000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
FROTO,2020,3166128987.84,102359644987.84,0.7548,0.0203,17.8881,9.022624,350910000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
FROTO,2021,6325851411.81,105519367411.81,0.7188,0.0405,10.0571,18.026991,350910000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
FROTO,2022,14721888999.51,113915404999.51,0.7909,0.0944,5.4154,41.953461,350910000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
FROTO,2023,22020852792.33,121214368792.33,0.4489,0.1411,2.4203,62.753563,350910000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
FROTO,2024,29340733979.34,,0.755,,,83.613274,350910000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
FROTO,2025,314330246779.5,413523762779.5,9.2488,2.0147,6.9141,89.575745,3509100000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
GUBRF,2020,28774100668.0,28368323915.0,109.8013,0.9657,47.3513,86.150002,334000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
GUBRF,2021,25667899332.0,25262122579.0,49.0664,0.8614,37.994,76.849998,334000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
GUBRF,2022,88276195992.0,87870419239.0,116.559,2.9626,52.686,264.299988,334000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
GUBRF,2023,51369201002.0,50963424249.0,,1.724,12.4072,153.800003,334000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
GUBRF,2024,95858000000.0,,152.3791,,,287.0,334000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
GUBRF,2025,116232000000.0,115826223247.0,22.0323,3.9008,10.3445,348.0,334000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
HEKTS,2020,889907360.0,9020783412.0,4.7252,0.0638,34.4072,1.034776,860000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
HEKTS,2021,3630842600.0,11761718652.0,11.1459,0.2602,24.5885,4.22191,860000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
HEKTS,2022,95178597470.0,103309473522.0,118.6337,6.8199,68.0356,37.619999,2530000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
HEKTS,2023,50853000000.0,58983876052.0,,3.6438,,20.1,2530000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income;ev_ebitda_non_positive_ebitda
HEKTS,2024,32624100000.0,,,,,3.87,8430000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income;pb_2024_suspect;ev_2024_suspect
HEKTS,2025,25795800000.0,33926676052.0,,1.8484,,3.06,8430000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income;ev_ebitda_non_positive_ebitda
KONTR,2020,258329600.0,14489430804.0,10.7732,0.0442,433.7901,1.291648,200000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
KONTR,2021,714639600.0,14945740804.0,5.4691,0.1223,85.1695,3.573198,200000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
KONTR,2022,9155912800.0,23387014004.0,19.5197,1.5674,45.5301,45.779564,200000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
KONTR,2023,12556998400.0,26788099604.0,29.1346,2.1496,31.4259,62.784992,200000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
KONTR,2024,25058287800.0,,91.4822,,,38.551212,650000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
KONTR,2025,14976000000.0,29207101204.0,,2.5638,19.6209,11.52,1300000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
KRDMD,2020,6105772740.0,11874225667.0,,0.0721,1.7376,5.355941,1140000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
KRDMD,2021,9739658400.0,15508111327.0,,0.1151,2.2693,8.54356,1140000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
KRDMD,2022,20304014460.0,26072467387.0,,0.2399,3.8152,17.810539,1140000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
KRDMD,2023,27086400000.0,32854852927.0,,0.32,4.8077,23.76,1140000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
KRDMD,2024,30894000000.0,,,,,27.1,1140000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income;pb_2024_suspect;ev_2024_suspect
KRDMD,2025,28796400000.0,34564852927.0,,0.3402,5.0579,25.26,1140000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
KUYAS,2020,57250000.0,720348337.0,5.7958,0.0399,,0.5725,100000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,ev_ebitda_non_positive_ebitda
KUYAS,2021,127750000.0,790848337.0,1.0036,0.0891,45.8004,1.2775,100000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
KUYAS,2022,660500000.0,1323598337.0,2.857,0.4607,11.7746,6.605,100000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
KUYAS,2023,1338750000.0,2001848337.0,8.7489,0.9337,10.2082,13.3875,100000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
KUYAS,2024,8280000400.0,,58.0529,,,20.700001,400000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
KUYAS,2025,21400000000.0,22063098337.0,,14.9257,,53.5,400000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income;ev_ebitda_non_positive_ebitda
MAVI,2020,137066677.733,-3920178322.267,29.9076,0.0099,-9.7442,2.760269,49657000.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
MAVI,2021,185113102.595,-3872131897.405,0.4623,0.0133,-3.6644,3.727835,49657000.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
MAVI,2022,1430824743.12,-2626420256.88,0.9941,0.103,-1.0399,14.40708,99314000.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
MAVI,2023,5252756391.088,1195511391.088,2.9445,0.3782,0.2363,26.445196,198628000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
MAVI,2024,16081151699.456,,5.9036,,,40.480576,397256000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
MAVI,2025,33276600122.816,29219355122.816,14.5089,2.3962,3.2175,41.883068,794512000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
MGROS,2020,7259563743.327,11150830743.327,,0.0919,5.9407,40.096073,181054233.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
MGROS,2021,6441249667.4607,10332516667.4607,17.9481,0.0815,5.8498,35.576355,181054233.0,yahoo_chart_api,manual,modeling_dataset,accepted,
MGROS,2022,24871988135.3932,28763255135.3932,9.6768,0.3147,7.369,137.373138,181054233.0,yahoo_chart_api,manual,modeling_dataset,accepted,
MGROS,2023,57738083374.2925,61629350374.2925,6.5398,0.7305,,318.899384,181054233.0,yahoo_chart_api,manual,modeling_dataset,accepted,ev_ebitda_non_positive_ebitda
MGROS,2024,96309635465.2114,,15.1914,,,531.938049,181054233.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
MGROS,2025,93875603190.9817,97766870190.9817,14.5158,1.1878,12.5062,518.494385,181054233.0,yahoo_chart_api,manual,modeling_dataset,accepted,
MIATK,2020,,,,,,,30000000.0,,manual,modeling_dataset,rejected,missing_price
MIATK,2021,100787666.0,495404313.0,1.8611,0.0185,8.2888,2.652307,38000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
MIATK,2022,356615370.0,751232017.0,1.0785,0.0653,2.2152,9.384615,38000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
MIATK,2023,17833399012.0,18228015659.0,35.3846,3.265,25.2053,36.099998,494000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
MIATK,2024,20817159506.0,,9.1445,,,42.139999,494000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
MIATK,2025,19473479012.0,19868095659.0,,3.5652,18.2048,39.419998,494000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
