model,ticker,year,full_pooled_ic,year_full_ic,year_loo_ic,loo_pooled_ic,delta_pooled_ic,abs_delta_pooled_ic,sign,status
elasticnet,MGROS,2024,-0.0198241823,0.0573370839,0.0685248296,-0.0160949338,0.0037292486,0.0037292486,positive,complete
elasticnet,MIATK,2024,-0.0198241823,0.0573370839,0.0731742941,-0.0145451123,0.00527907,0.00527907,positive,complete
elasticnet,MPARK,2024,-0.0198241823,0.0573370839,0.0480038948,-0.0229352454,-0.003111063,0.003111063,negative,complete
elasticnet,NETAS,2024,-0.0198241823,0.0573370839,0.0519961052,-0.0216045086,-0.0017803263,0.0017803263,negative,complete
elasticnet,NTGAZ,2024,-0.0198241823,0.0573370839,0.060248296,-0.0188537783,0.000970404,0.000970404,positive,complete
elasticnet,ODAS,2024,-0.0198241823,0.0573370839,0.0549415774,-0.0206226845,-0.0007985022,0.0007985022,negative,complete
elasticnet,OTKAR,2024,-0.0198241823,0.0573370839,0.0499513145,-0.0222861055,-0.0024619231,0.0024619231,negative,complete
elasticnet,OYAKC,2024,-0.0198241823,0.0573370839,0.0528237585,-0.0213286241,-0.0015044418,0.0015044418,negative,complete
elasticnet,PASEU,2024,-0.0198241823,0.0573370839,0.0326436222,-0.0280553362,-0.0082311539,0.0082311539,negative,complete
elasticnet,PETKM,2024,-0.0198241823,0.0573370839,0.0817672833,-0.0116807825,0.0081433998,0.0081433998,positive,complete
elasticnet,PGSUS,2024,-0.0198241823,0.0573370839,0.0511197663,-0.0218966215,-0.0020724392,0.0020724392,negative,complete
elasticnet,PRKME,2024,-0.0198241823,0.0573370839,0.0605647517,-0.0187482931,0.0010758893,0.0010758893,positive,complete
elasticnet,SAHOL,2024,-0.0198241823,0.0573370839,0.0623904576,-0.0181397244,0.0016844579,0.0016844579,positive,complete
elasticnet,SASA,2024,-0.0198241823,0.0573370839,0.0886319377,-0.0093925644,0.0104316179,0.0104316179,positive,complete
elasticnet,SELEC,2024,-0.0198241823,0.0573370839,0.0559883155,-0.0202737718,-0.0004495895,0.0004495895,negative,complete
elasticnet,SISE,2024,-0.0198241823,0.0573370839,0.036976631,-0.026611,-0.0067868177,0.0067868177,negative,complete
elasticnet,SKBNK,2024,-0.0198241823,0.0573370839,0.0633885102,-0.0178070402,0.0020171421,0.0020171421,positive,complete
elasticnet,SMRTG,2024,-0.0198241823,0.0573370839,0.0893135346,-0.0091653654,0.0106588169,0.0106588169,positive,complete
elasticnet,SOKM,2024,-0.0198241823,0.0573370839,0.0476874391,-0.0230407306,-0.0032165483,0.0032165483,negative,complete
