ticker,year,indices,annual_return_pct,price,daily_change_pct,volume,return_1w_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_ytd_pct,return_1y_pct,return_3y_pct,return_5y_pct,market_cap,enterprise_value,pe,pb,ev_sales,ev_ebitda,peg,gross_margin_pct,ebitda_margin_pct,net_margin_pct,roe_pct,roic_pct,roa_pct,working_capital,net_debt,net_debt_ebitda,net_fin_exp_ebitda,current_ratio,leverage_ratio,financial_debt_ratio,revenue_growth_pct,gross_profit_growth_pct,ebitda_growth_pct,operating_income_growth_pct,net_income_growth_pct,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,revenue,gross_profit,operating_income,ebitda,net_income,free_cash_flow,ocf,icf,fcf_financing,source_file
DOAS,2023,"BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",51.6756503398172,180.5,0.11,199382535.3,-1.634877384196187,0.9942049033661675,-15.03801951217039,8.052036194449968,3.571409494201674,13.08865226597395,123.0057477776938,1197.920194927337,39710000000.0,64894576000.0,12.64214856036777,0.5913761306177866,0.2537116364641571,4.409443057781035,-0.1848476544066048,12.48121428891066,5.753824987408557,1.228035679075605,4.516868896495486,8.559795991757769,2.502214275776582,19981197000.0,25184576000.0,1.711236295100516,-0.5030363149684498,1.433344438113349,47.75630373688362,23.57945157557572,3.736515503942652,-19.32542887566231,-32.83493887197043,-45.88322780871864,-68.39225848416312,130369139000.0,66090470000.0,64278669000.0,46109273000.0,16150209000.0,67148466000.0,255780842000.0,31924555000.0,11506149000.0,14717182000.0,3141080000.0,-14188175000.0,-12805473000.0,-1382702000.0,6697491000.0,2023stocks.xlsx
DSTKF,2023,"BIST MALİ (XUMAL), BIST HALKA ARZ (XHARZ), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",69.73758042123221,2730.0,6.12,1196169855.0,8.118811881188122,45.05844845908609,241.25,324.5723172628304,391.8918918918919,1215.66265060241,296.8381634529827,1636.49624188283,909999999090.0,902512983090.0,241.6498040485637,74.5516841913645,128.6585155729449,284.7285725791873,3.081958156697462,45.18637325629234,45.18637325629234,53.68340110914163,44.82459892971745,16.96659003426437,10.43508231345989,21491341511.31579,-7487016000.0,-2.362035137997514,-1.21305656536785,1.605486929375312,74.83010164939655,0.0,42.99557933970183,5.603630940958229,5.603630940958229,-1.794588086708604,78.40787958896517,48495615000.0,98596299419.1579,175400085449.7105,77104957907.8421,66344431217.42105,12206297000.0,7014794000.0,3169731000.0,10267860592.31579,3169731000.0,3765780000.0,-4672835000.0,-4528328000.0,-144507000.0,9196904000.0,2023stocks.xlsx
ENKAI,2023,"BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",1.625207296849098,104.6,-0.29,630590845.4,-2.05992509363297,14.51171373716049,9.362490022868172,39.15630232428674,37.1235218956644,71.850323570542,334.298687042924,1612.179143798024,627600000000.0,414329489000.0,17.34501732318405,1.68159565550706,2.647352568131955,12.2063978537595,0.3726482899917433,23.68601908721001,21.68823759350582,23.11927101891463,11.08837513836718,5.1178156062825,8.448411262472474,202611578000.0,-213270511000.0,-6.283078508420121,0.0512340267171755,3.788457272327595,23.02375482189342,1.400828177627218,55.66433152590219,46.56788617505266,47.64039657864126,49.57237112784911,46.54527550245396,493059685000.0,275272393000.0,217787292000.0,72660815000.0,40860038000.0,373216949000.0,156507106000.0,37070303000.0,28883252000.0,33943633000.0,36183302000.0,20599398000.0,26597340000.0,-5997942000.0,-17849105000.0,2023stocks.xlsx
EREGL,2023,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",-4.156712852365033,35.12,4.15,7788213099.24,7.73006134969323,24.45074415308292,24.62739531582683,27.80203784570597,47.43912678421495,57.559443696725,116.5228113440197,329.8653610771113,245840000000.0,277311275000.0,523.8797446235413,0.8319561279455527,1.289519251800106,12.52316782168962,-5.552467056595595,8.051656729554823,9.751198658513777,0.6431381151065027,0.1712703905523716,1.451706607627281,0.09097983293618113,130452731000.0,31471275000.0,1.421219019628917,-0.1051872166821864,2.030442529268359,47.1433832273448,26.98363686716349,11.46748113494189,26.42180562329629,41.00850850002011,27.92386642366773,-9.975163524387355,576746036000.0,257051476000.0,319694560000.0,126598745000.0,145298849000.0,295496351000.0,59684847000.0,4805619000.0,2427230000.0,5819988000.0,383856000.0,14793422000.0,18061920000.0,-3268498000.0,-10426830000.0,2023stocks.xlsx
FROTO,2023,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",45.44028680259913,98.0,-0.05,1568062451.95,-4.203323558162268,-3.066271018793259,-10.85015020289373,8.82905220024675,9.404618693264794,21.99227249886849,122.7277064805753,649.1750127073898,343891800000.0,443085316000.0,10.1185910077742,2.204142298076892,0.5333057524920747,8.503688777169332,-0.3048751000897564,8.351153740036807,6.271463672611017,4.090634612786905,22.15242087125068,9.30990498714738,7.737341445446545,42833128000.0,99193516000.0,1.903720927590312,-0.5938945636616719,1.237140354858528,65.38876319946884,36.19666292094078,6.680383640373072,-2.92294296792062,-0.1511537551296903,12.29578595606876,-33.1892995026332,450780450000.0,223456658000.0,227323792000.0,180623530000.0,114136231000.0,156020689000.0,830827933000.0,69383718000.0,42603202000.0,52105072000.0,33986135000.0,81370352000.0,105099896000.0,-23729544000.0,-34769707000.0,2023stocks.xlsx
GUBRF,2023,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",-44.1944847605225,530.5,0.47,764877602.5,2.710551790900297,12.09720021130481,10.40582726326743,67.61453396524487,52.44252873563218,93.26047358834245,162.4938149430975,776.1354252683733,177187000000.0,176781223247.0,33.58663678740731,5.946484872587396,3.367507755826497,15.98703894079233,0.04550748976781796,24.79583218107864,21.06398669758667,10.04934618398041,20.44192952631365,19.30527732581072,8.968972743435701,12788049708.0,-405776753.0,-0.0366960281885557,0.1136124022802511,1.475274602025875,44.202511570063,14.98325300864524,31.15151354937974,77.1064392126098,89.41980288970892,133.6691821284864,36.37131488871179,64461257675.0,39694704626.0,24766553049.0,26906654918.0,1586839964.0,29796931094.0,52496159197.0,13016859536.0,9569918057.0,11057783990.0,5275520771.0,7360972485.0,8374965936.0,-1013993451.0,-2248796558.0,2023stocks.xlsx
HEKTS,2023,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",-46.64206642066421,3.43,3.94,1008097900.96,5.864197530864203,19.93006993006993,2.083333333333343,-3.921568627450966,12.09150326797386,11.0032362459547,-64.60268317853456,236.2745098039215,28914900000.0,37045776052.0,46.89673957668054,2.071866810351821,6.045413479005643,57.2530112963621,0.04550748976781796,-9.681230683687899,-26.98343337829387,-66.02741649576222,-25.30185036242192,-10.46639773193465,-13.65881106274164,-5503229867.0,8130876052.0,2.791092340904628,1.783534754580129,0.529056677213061,49.96620939080297,35.77778203643693,-3.810143133367588,7.193859483812521,10.33073241836171,-1.794588086708604,36.37131488871179,27729906985.0,6182316144.0,21547590841.0,11685546011.0,2170037377.0,13955964667.0,6127914357.0,-593257525.0,-3153565149.0,-1653521688.0,-4046103535.0,540885615.0,1932502053.0,-1391616438.0,-1392524967.0,2023stocks.xlsx
KONTR,2023,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",31.79741051028179,10.41,-0.19,6038532485.97,-11.02564102564102,20.76566125290024,6.441717791411051,-36.01720958819914,-9.635416666666657,-25.85470085470085,-50.61669829222011,402.8985507246377,13533000000.0,27764101204.0,46.89673957668054,2.31672242181384,1.643514728789167,79.22012257737045,0.04550748976781796,7.396516373902166,2.074617755336122,-4.322447900153376,-12.52912652878136,-2.871774596493348,-2.066635726658783,-650066318.0,14231101204.0,40.60601758753926,-11.38523830217104,0.9648147645345295,80.42298659547971,39.41788384120797,30.26187109031774,-32.02076101617211,-76.52379336892136,-19.74615179899992,36.37131488871179,37325594543.0,17825476318.0,19500118225.0,18475542636.0,11542815260.0,5841442148.0,16893125883.0,1249502822.0,714905461.0,350467789.0,-730196565.0,-2959485863.0,1498268158.0,-4457754021.0,958036115.0,2023stocks.xlsx
KRDMD,2023,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",29.55288985823339,38.52,2.18,2867810401.46,6.526548672566392,24.66019417475729,32.55333792154164,40.48140043763678,52.49406175771972,65.89147286821708,159.7437626432907,480.1204819277109,49474671331.0,55243124258.0,46.89673957668054,0.584443490857288,0.8279972072548416,8.083809810034516,0.04550748976781796,7.772462788765722,10.24266066016348,-2.517296943896286,-2.210207121736284,2.385554429766044,-1.433425974012343,10839563116.0,5768452927.0,0.8441064292856693,-0.3087609400914352,1.421263182175259,33.36784730935516,6.858882213245589,-9.783235373406711,29.77258990220634,24.68840194551919,-1.794588086708604,36.37131488871179,127044704940.0,36570658485.0,90474046455.0,25731095369.0,16660987790.0,84652617584.0,66718974139.0,5185707438.0,1223249120.0,6833798117.0,-1679514697.0,-2575724328.0,2475719363.0,-5051443691.0,2703695113.0,2023stocks.xlsx
KUYAS,2023,"BIST KATILIM TUM (XKTUM), BIST GERİ ALIM (XUGRA), BIST KATILIM 100 (XK100), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",102.571860816944,83.1,-1.77,1137335203.3,-11.78343949044587,8.41487279843443,54.03151065801666,63.26129666011786,55.32710280373831,110.9137055837564,936.1596009975062,15009.09090909091,33240000000.0,33903098337.0,46.89673957668054,23.18363539992147,28.49185188974414,318.5790404635365,0.04550748976781796,22.19864082839775,8.943416945536697,-110.2501412707438,-65.42250612152354,1.193315793597249,-28.22774158159138,80717986.0,663098337.0,6.230971276860584,-6.786929086529708,1.024097507273771,71.5307211596518,52.02470310122926,-18.9303538799043,-66.80823364251552,-84.57395728320287,-1.794588086708604,36.37131488871179,5038522040.0,3430358473.0,1608163567.0,3349640487.0,254450664.0,1433769960.0,1189922595.0,264146643.0,-113579798.0,106419739.0,-1311891342.0,-715290576.0,-1089792319.0,374501743.0,707434141.0,2023stocks.xlsx
MAVI,2023,"BIST KATILIM TUM (XKTUM), BIST KATILIM TEMETTU (XKTMT), BIST GERİ ALIM (XUGRA), BIST TEMETTÜ (XTMTU), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",78.44155844155844,43.32,0.74,210698273.34,-0.8695652173913118,2.897862232779104,-10.38477451386017,7.493796526054595,-0.4595588235294201,39.11368015414257,264.6464646464646,1720.168067226891,34418259840.0,30361014840.0,15.00669485905333,2.478425364228854,0.6361097157042885,3.434131003872883,-0.4220622626377232,50.9920748532801,18.52316393832699,4.805289993165821,16.84454707815546,23.08127801869115,8.725915652986043,6970098000.0,-4057245000.0,-0.4589145296438396,-0.1882576100332995,1.634224377240455,48.36575576533898,16.53607965288347,-5.160630603014495,-3.834810812143546,-3.504101612681764,-10.7415742987154,-35.55564234828147,26981371000.0,17960054000.0,9021317000.0,10989956000.0,2059788000.0,13887148000.0,47729211000.0,24338115000.0,5644768000.0,8840960000.0,2293527000.0,7778346000.0,8870679000.0,-1092333000.0,-5682577000.0,2023stocks.xlsx
MGROS,2023,"BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",128.2454144746197,641.5,2.48,1287866174.0,-2.43346007604562,6.473029045643159,0.7064364207221416,42.48906066058063,22.89272030651341,36.93512925053898,289.6379980563654,1771.899620659469,116146290469.5,120037557469.5,17.95947977997968,1.469573268848448,0.2908193526150988,4.393760450245159,-0.8138975583992443,24.31140376010957,6.618916891540411,1.566815086482881,8.396291868531357,8.182353198393232,3.185791233070391,-19998945000.0,3891267000.0,0.142432880228243,-0.1328081748154878,0.7922389875504489,61.870667172833,15.17379160767878,7.339362780741634,13.02017943116364,32.13690929020486,-1.794588086708604,-22.06601997344972,209583279000.0,76260429000.0,133322850000.0,96259374000.0,33411199000.0,79034025000.0,412756429000.0,100346882000.0,-8252604000.0,27320005000.0,6467130000.0,14691814000.0,28655001000.0,-13963187000.0,-9289049000.0,2023stocks.xlsx
MIATK,2023,"BIST 50 (XU050), BIST 100 (XU100), BIST TÜM (XUTUM), BIST GERİ ALIM (XUGRA)",291.115926327194,39.96,1.52,498248073.54,-2.821011673151745,-3.896103896103881,7.941653160453811,7.073954983922832,1.369863013698634,15.02590673575128,376.2812872467222,1636.49624188283,19740240000.0,20134856647.0,46.89673957668054,3.614059170651116,7.303077978827358,16.99359783608103,0.04550748976781796,33.89222851654659,42.97546669794295,-26.47352555845821,-12.51327753441295,10.98337194139916,-9.503758464989735,1286468273.0,394616647.0,0.3330521153494236,-0.1537633068456496,1.847614586640199,23.79852632834255,15.20021039427611,-18.4632630319098,-53.81436821230893,-46.32359136365828,-66.18290504276872,36.37131488871179,7172560147.0,2804219729.0,4368340418.0,1517751456.0,189212159.0,5462068845.0,2757037061.0,934421301.0,691765143.0,1184849544.0,-729884911.0,-513403503.0,866043077.0,-1379446580.0,175093684.0,2023stocks.xlsx
OYAKC,2023,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",152.7001862197393,23.7,-0.42,274518855.28,-2.388797364085676,1.979345955249585,-14.1304347826087,11.47695202257759,2.864583333333329,5.992844364937383,221.1382113821138,1310.714285714286,115221242057.1,104626991057.1,13.1489760019624,1.830297102325578,1.851719906789778,7.142621497150992,-1.993594068042489,26.69626129246687,25.92493396896896,15.50858517114991,14.28705636246257,12.88909113108498,11.36779242365375,18088898000.0,-10594251000.0,-0.7232428666281365,0.0758524117059075,2.245142546875693,21.60107654947487,5.204040211322213,-2.843358548763253,-8.771722919867184,-12.17881435726,-20.4234249453016,-6.595613526716291,80297285000.0,32616470000.0,47680815000.0,14527572000.0,2817506000.0,62952207000.0,56502601000.0,15084082000.0,11347996000.0,14648262000.0,8762754000.0,6192711000.0,10211019000.0,-4018308000.0,1064333000.0,2023stocks.xlsx
