target,split,model,kind,mae,rmse,spearman,precision_at_5,top_bucket_avg_return,median_actual_return,directional_acc
next_year_top_20pct_returner,test_2023,random_forest,ml,0.38,0.52,-0.192,0.0,0.0,0.0,0.475
next_year_top_20pct_returner,test_2024,baseline_equal_weight,baseline,0.5,0.52,-0.008,0.2,0.4,0.0,0.475
next_year_top_20pct_returner,test_2024,baseline_rank_score,baseline,0.5,0.52,-0.008,0.2,0.4,0.0,0.475
next_year_top_20pct_returner,test_2024,linear_regression,ml,0.4,0.49,-0.101,0.0,0.2,0.0,0.475
next_year_top_20pct_returner,test_2024,ridge,ml,0.37,0.46,-0.096,0.0,0.2,0.0,0.475
next_year_top_20pct_returner,test_2024,lasso,ml,0.35,0.42,,0.0,0.2,0.0,0.775
next_year_top_20pct_returner,test_2024,elasticnet,ml,0.35,0.42,,0.0,0.2,0.0,0.775
next_year_top_20pct_returner,test_2024,random_forest,ml,0.38,0.49,-0.34,0.0,0.2,0.0,0.375
next_year_top_20pct_returner,test_2025,baseline_equal_weight,baseline,0.51,0.53,-0.06,0.2,0.2,0.0,0.475
next_year_top_20pct_returner,test_2025,baseline_rank_score,baseline,0.51,0.53,-0.06,0.2,0.2,0.0,0.475
next_year_top_20pct_returner,test_2025,linear_regression,ml,0.43,0.56,0.096,0.2,0.4,0.0,0.575
next_year_top_20pct_returner,test_2025,ridge,ml,0.37,0.48,-0.039,0.0,0.0,0.0,0.525
next_year_top_20pct_returner,test_2025,lasso,ml,0.35,0.42,,0.0,0.2,0.0,0.775
next_year_top_20pct_returner,test_2025,elasticnet,ml,0.35,0.42,,0.0,0.2,0.0,0.775
next_year_top_20pct_returner,test_2025,random_forest,ml,0.34,0.43,0.091,0.0,0.0,0.0,0.575
